,Tarih,Saat,Toplam (MWh),ISPARTA WindSpeed(m/s)
106,05.02.2018,10:00,19.04,(6.34923157075555+0j)
107,05.02.2018,11:00,11.88,(5.425473741809264+0j)
108,05.02.2018,12:00,7.79,(4.713512591762702+0j)
109,05.02.2018,13:00,5.31,(4.148238259799895+0j)
110,05.02.2018,14:00,3.59,(3.6408015039950796+0j)
111,05.02.2018,15:00,3.01,(3.4331097264739663+0j)
112,05.02.2018,16:00,1.07,(2.4319806300941473+0j)
113,05.02.2018,17:00,0.0,0j
114,05.02.2018,18:00,1.82,(2.903059798453946+0j)
115,05.02.2018,19:00,3.18,(3.4965619378423445+0j)
116,05.02.2018,20:00,4.95,(4.052290629810883+0j)
117,05.02.2018,21:00,9.28,(4.996679701993292+0j)
118,05.02.2018,22:00,16.9,(6.101843817220572+0j)
119,05.02.2018,23:00,21.18,(6.578711442191173+0j)
120,06.02.2018,00:00,13.1,(5.605176393207674+0j)
121,06.02.2018,01:00,10.28,(5.170071595363093+0j)
122,06.02.2018,02:00,7.77,(4.70947531990136+0j)
123,06.02.2018,03:00,11.0,(5.2880604864194725+0j)
124,06.02.2018,04:00,11.18,(5.316748536844975+0j)
125,06.02.2018,05:00,9.14,(4.971425293990788+0j)
126,06.02.2018,06:00,9.56,(5.04643654220476+0j)
127,06.02.2018,07:00,8.32,(4.8180720974118865+0j)
128,06.02.2018,08:00,7.67,(4.68918435166086+0j)
129,06.02.2018,09:00,7.05,(4.559269084793303+0j)
130,06.02.2018,10:00,9.05,(4.9550538517453715+0j)
131,06.02.2018,11:00,6.31,(4.393817073693721+0j)
132,06.02.2018,12:00,4.32,(3.8725179068348514+0j)
133,06.02.2018,13:00,5.74,(4.257318577047988+0j)
134,06.02.2018,14:00,6.35,(4.403081870918389+0j)
135,06.02.2018,15:00,5.11,(4.095489521321044+0j)
136,06.02.2018,16:00,2.84,(3.367221086252379+0j)
137,06.02.2018,17:00,0.26,(1.5175976138600946+0j)
138,06.02.2018,18:00,4.09,(3.802535597327706+0j)
139,06.02.2018,19:00,10.98,(5.2848536569572+0j)
140,06.02.2018,20:00,9.02,(4.949572593010624+0j)
141,06.02.2018,21:00,4.28,(3.860528610577734+0j)
142,06.02.2018,22:00,6.92,(4.531071171270203+0j)
143,06.02.2018,23:00,16.06,(5.999025380723281+0j)
144,07.02.2018,00:00,22.96,(6.758071987769734+0j)
145,07.02.2018,01:00,22.5,(6.712634877071662+0j)
146,07.02.2018,02:00,20.15,(6.47029183118394+0j)
147,07.02.2018,03:00,11.97,(5.439139980253118+0j)
148,07.02.2018,04:00,8.49,(4.850666493052543+0j)
149,07.02.2018,05:00,3.85,(3.7266541961026407+0j)
150,07.02.2018,06:00,2.29,(3.1340843430390355+0j)
151,07.02.2018,07:00,2.26,(3.1203381824018313+0j)
152,07.02.2018,08:00,0.04,(0.8131778044860105+0j)
153,07.02.2018,09:00,1.37,(2.640821465490214+0j)
154,07.02.2018,10:00,1.43,(2.678824104892895+0j)
155,07.02.2018,11:00,8.29,(4.8122741711163615+0j)
156,07.02.2018,12:00,8.23,(4.800636219587413+0j)
157,07.02.2018,13:00,10.02,(5.1261120244445495+0j)
158,07.02.2018,14:00,10.96,(5.281642930980428+0j)
159,07.02.2018,15:00,14.58,(5.8087768602522765+0j)
160,07.02.2018,16:00,7.63,(4.68101858093406+0j)
