,Tarih,Saat,Toplam (MWh),BURSA WindSpeed(m/s)
107,05.02.2018,11:00,37.0,(9.621857179459921+0j)
108,05.02.2018,12:00,40.0,(9.875179427869071+0j)
109,05.02.2018,13:00,47.0,(10.42055741620353+0j)
110,05.02.2018,14:00,44.0,(10.193951359953028+0j)
111,05.02.2018,15:00,40.0,(9.875179427869071+0j)
112,05.02.2018,16:00,38.0,(9.707771164485267+0j)
113,05.02.2018,17:00,31.0,(9.07079940331659+0j)
114,05.02.2018,18:00,32.0,(9.167304512463943+0j)
115,05.02.2018,19:00,37.0,(9.621857179459921+0j)
116,05.02.2018,20:00,38.0,(9.707771164485267+0j)
117,05.02.2018,21:00,39.0,(9.792190803236888+0j)
118,05.02.2018,22:00,29.0,(8.871376223704617+0j)
119,05.02.2018,23:00,29.0,(8.871376223704617+0j)
120,06.02.2018,00:00,31.0,(9.07079940331659+0j)
121,06.02.2018,01:00,34.0,(9.354443808532094+0j)
122,06.02.2018,02:00,24.0,(8.329048905180615+0j)
123,06.02.2018,03:00,8.0,(5.77503996302479+0j)
124,06.02.2018,04:00,12.0,(6.610770496989144+0j)
125,06.02.2018,05:00,12.0,(6.610770496989144+0j)
126,06.02.2018,06:00,10.0,(6.220973216330527+0j)
127,06.02.2018,07:00,35.0,(9.445269331521574+0j)
128,06.02.2018,08:00,32.0,(9.167304512463943+0j)
129,06.02.2018,09:00,4.0,(4.5836522562319715+0j)
130,06.02.2018,10:00,1.0,(2.887519981512395+0j)
131,06.02.2018,11:00,2.0,(3.6380472066995213+0j)
132,06.02.2018,12:00,0.0,0j
133,06.02.2018,13:00,2.0,(3.6380472066995213+0j)
134,06.02.2018,14:00,2.0,(3.6380472066995213+0j)
135,06.02.2018,15:00,1.0,(2.887519981512395+0j)
136,06.02.2018,16:00,0.0,0j
137,06.02.2018,17:00,1.0,(2.887519981512395+0j)
138,06.02.2018,18:00,1.0,(2.887519981512395+0j)
139,06.02.2018,19:00,0.0,0j
140,06.02.2018,20:00,0.0,0j
141,06.02.2018,21:00,2.0,(3.6380472066995213+0j)
142,06.02.2018,22:00,0.0,0j
143,06.02.2018,23:00,0.0,0j
144,07.02.2018,00:00,0.0,0j
145,07.02.2018,01:00,0.0,0j
146,07.02.2018,02:00,0.0,0j
147,07.02.2018,03:00,1.0,(2.887519981512395+0j)
148,07.02.2018,04:00,2.0,(3.6380472066995213+0j)
149,07.02.2018,05:00,6.0,(5.2469720206204515+0j)
150,07.02.2018,06:00,4.0,(4.5836522562319715+0j)
151,07.02.2018,07:00,2.0,(3.6380472066995213+0j)
152,07.02.2018,08:00,5.0,(4.937589713934536+0j)
153,07.02.2018,09:00,5.0,(4.937589713934536+0j)
154,07.02.2018,10:00,0.0,0j
155,07.02.2018,11:00,0.0,0j
156,07.02.2018,12:00,1.0,(2.887519981512395+0j)
157,07.02.2018,13:00,2.0,(3.6380472066995213+0j)
158,07.02.2018,14:00,3.0,(4.164524452590308+0j)
159,07.02.2018,15:00,1.0,(2.887519981512395+0j)
160,07.02.2018,16:00,8.0,(5.77503996302479+0j)
161,07.02.2018,17:00,4.0,(4.5836522562319715+0j)
