,Tarih,Saat,Toplam (MWh),KIRLARELI WindSpeed(m/s)
105,05.02.2018,09:00,23.25,(7.902040025587216+0j)
106,05.02.2018,10:00,16.25,(7.012658568134463+0j)
107,05.02.2018,11:00,15.3,(6.873248558793047+0j)
108,05.02.2018,12:00,12.2,(6.373600667371105+0j)
109,05.02.2018,13:00,8.8,(5.716003202714001+0j)
110,05.02.2018,14:00,5.3,(4.827143348198834+0j)
111,05.02.2018,15:00,4.45,(4.553914890925833+0j)
112,05.02.2018,16:00,3.67,(4.270580645585373+0j)
113,05.02.2018,17:00,6.6,(5.193333564173037+0j)
114,05.02.2018,18:00,9.23,(5.807628213914688+0j)
115,05.02.2018,19:00,7.25,(5.358512419218087+0j)
116,05.02.2018,20:00,10.91,(6.140538937604774+0j)
117,05.02.2018,21:00,13.79,(6.639259771963585+0j)
118,05.02.2018,22:00,14.63,(6.771418901234368+0j)
119,05.02.2018,23:00,12.14,(6.363134966002453+0j)
120,06.02.2018,00:00,10.45,(6.052995293433116+0j)
121,06.02.2018,01:00,8.64,(5.681148658053976+0j)
122,06.02.2018,02:00,6.73,(5.227209753444082+0j)
123,06.02.2018,03:00,8.25,(5.594348993780658+0j)
124,06.02.2018,04:00,8.72,(5.698629225625498+0j)
125,06.02.2018,05:00,14.09,(6.68706026425975+0j)
126,06.02.2018,06:00,17.42,(7.177077286465408+0j)
127,06.02.2018,07:00,19.38,(7.4367439756121625+0j)
128,06.02.2018,08:00,18.2,(7.282637650666762+0j)
129,06.02.2018,09:00,12.0,(6.338580176694053+0j)
130,06.02.2018,10:00,7.6,(5.4433898208896405+0j)
131,06.02.2018,11:00,5.7,(4.945647869175709+0j)
132,06.02.2018,12:00,2.75,(3.8789049474899477+0j)
133,06.02.2018,13:00,1.5,(3.1692900883470263+0j)
134,06.02.2018,14:00,1.15,(2.900664631485031+0j)
135,06.02.2018,15:00,2.6,(3.8070567913018802+0j)
136,06.02.2018,16:00,3.59,(4.239321844201168+0j)
137,06.02.2018,17:00,4.06,(4.416791692433018+0j)
138,06.02.2018,18:00,4.49,(4.567518899719059+0j)
139,06.02.2018,19:00,6.93,(5.278485314349773+0j)
140,06.02.2018,20:00,6.73,(5.227209753444082+0j)
141,06.02.2018,21:00,7.68,(5.462422807287237+0j)
142,06.02.2018,22:00,8.73,(5.700806768529677+0j)
143,06.02.2018,23:00,10.0,(5.964832318220179+0j)
144,07.02.2018,00:00,9.52,(5.867825933447132+0j)
145,07.02.2018,01:00,9.88,(5.940876910246222+0j)
146,07.02.2018,02:00,11.79,(6.301387316118073+0j)
147,07.02.2018,03:00,9.4,(5.843066879746127+0j)
148,07.02.2018,04:00,8.5,(5.650296195189972+0j)
149,07.02.2018,05:00,8.99,(5.756848537320761+0j)
150,07.02.2018,06:00,16.56,(7.056971284042974+0j)
151,07.02.2018,07:00,15.3,(6.873248558793047+0j)
152,07.02.2018,08:00,12.2,(6.373600667371105+0j)
153,07.02.2018,09:00,23.2,(7.896371415302053+0j)
154,07.02.2018,10:00,16.5,(7.0484380577224535+0j)
155,07.02.2018,11:00,6.15,(5.072514276239486+0j)
156,07.02.2018,12:00,4.45,(4.553914890925833+0j)
157,07.02.2018,13:00,9.2,(5.801329262970062+0j)
158,07.02.2018,14:00,3.26,(4.105229484540586+0j)
159,07.02.2018,15:00,0.35,(1.9511362042054134+0j)
160,07.02.2018,16:00,0.56,(2.28206274830638+0j)
161,07.02.2018,17:00,0.24,(1.7205553695817593+0j)
162,07.02.2018,18:00,0.1,(1.2850841666596855+0j)
163,07.02.2018,19:00,0.02,(0.7515217796818838+0j)
164,07.02.2018,20:00,0.0,0j
165,07.02.2018,21:00,0.13,(1.4025317136268929+0j)
166,07.02.2018,22:00,1.6,(3.238209184922298+0j)
167,07.02.2018,23:00,0.43,(2.0897181974184624+0j)
168,08.02.2018,00:00,1.59,(3.231448812054267+0j)
169,08.02.2018,01:00,3.5,(4.203595523317276+0j)
170,08.02.2018,02:00,5.73,(4.9543092666764+0j)
171,08.02.2018,03:00,8.84,(5.724650724526087+0j)
172,08.02.2018,04:00,10.42,(6.047197401672996+0j)
173,08.02.2018,05:00,16.1,(6.991014422540341+0j)
174,08.02.2018,06:00,26.89,(8.29459476871246+0j)
175,08.02.2018,07:00,51.33,(10.289367070155187+0j)
176,08.02.2018,08:00,57.64,(10.69480564925633+0j)
177,08.02.2018,09:00,57.9,(10.710862085588744+0j)
178,08.02.2018,10:00,46.5,(9.955946565349157+0j)
179,08.02.2018,11:00,25.7,(8.170386735896688+0j)
180,08.02.2018,12:00,14.45,(6.743533538370214+0j)
