,Tarih,Saat,Toplam (MWh),YALOVA WindSpeed(m/s)
105,05.02.2018,09:00,9.0,(5.394632767183229+0j)
106,05.02.2018,10:00,8.0,(5.186937860290851+0j)
107,05.02.2018,11:00,3.0,(3.7404294501078543+0j)
108,05.02.2018,12:00,4.0,(4.116875307959689+0j)
109,05.02.2018,13:00,14.0,(6.2506290793688075+0j)
110,05.02.2018,14:00,15.0,(6.396044389925575+0j)
111,05.02.2018,15:00,10.0,(5.587459430625182+0j)
112,05.02.2018,16:00,10.0,(5.587459430625182+0j)
113,05.02.2018,17:00,12.0,(5.937561643914042+0j)
114,05.02.2018,18:00,17.0,(6.668538916027042+0j)
115,05.02.2018,19:00,12.0,(5.937561643914042+0j)
116,05.02.2018,20:00,14.0,(6.2506290793688075+0j)
117,05.02.2018,21:00,10.0,(5.587459430625182+0j)
118,05.02.2018,22:00,6.0,(4.712645799837591+0j)
119,05.02.2018,23:00,11.0,(5.76782326615353+0j)
120,06.02.2018,00:00,12.0,(5.937561643914042+0j)
121,06.02.2018,01:00,14.0,(6.2506290793688075+0j)
122,06.02.2018,02:00,10.0,(5.587459430625182+0j)
123,06.02.2018,03:00,6.0,(4.712645799837591+0j)
124,06.02.2018,04:00,5.0,(4.434769489002025+0j)
125,06.02.2018,05:00,17.0,(6.668538916027042+0j)
126,06.02.2018,06:00,12.0,(5.937561643914042+0j)
127,06.02.2018,07:00,10.0,(5.587459430625182+0j)
128,06.02.2018,08:00,17.0,(6.668538916027042+0j)
129,06.02.2018,09:00,10.0,(5.587459430625182+0j)
130,06.02.2018,10:00,4.0,(4.116875307959689+0j)
131,06.02.2018,11:00,4.0,(4.116875307959689+0j)
132,06.02.2018,12:00,0.0,0j
133,06.02.2018,13:00,0.0,0j
134,06.02.2018,14:00,0.0,0j
135,06.02.2018,15:00,0.0,0j
136,06.02.2018,16:00,0.0,0j
137,06.02.2018,17:00,1.0,(2.5934689301454257+0j)
138,06.02.2018,18:00,2.0,(3.267566097338558+0j)
139,06.02.2018,19:00,3.0,(3.7404294501078543+0j)
140,06.02.2018,20:00,2.0,(3.267566097338558+0j)
141,06.02.2018,21:00,4.0,(4.116875307959689+0j)
142,06.02.2018,22:00,1.0,(2.5934689301454257+0j)
143,06.02.2018,23:00,1.5,(2.968780821957021+0j)
144,07.02.2018,00:00,2.0,(3.267566097338558+0j)
145,07.02.2018,01:00,2.0,(3.267566097338558+0j)
146,07.02.2018,02:00,2.0,(3.267566097338558+0j)
147,07.02.2018,03:00,0.0,0j
148,07.02.2018,04:00,1.0,(2.5934689301454257+0j)
149,07.02.2018,05:00,2.0,(3.267566097338558+0j)
150,07.02.2018,06:00,2.0,(3.267566097338558+0j)
151,07.02.2018,07:00,1.0,(2.5934689301454257+0j)
152,07.02.2018,08:00,6.0,(4.712645799837591+0j)
153,07.02.2018,09:00,4.0,(4.116875307959689+0j)
154,07.02.2018,10:00,0.0,0j
155,07.02.2018,11:00,1.0,(2.5934689301454257+0j)
156,07.02.2018,12:00,4.0,(4.116875307959689+0j)
157,07.02.2018,13:00,2.0,(3.267566097338558+0j)
158,07.02.2018,14:00,2.0,(3.267566097338558+0j)
159,07.02.2018,15:00,3.0,(3.7404294501078543+0j)
160,07.02.2018,16:00,12.0,(5.937561643914042+0j)
161,07.02.2018,17:00,13.0,(6.098113456976981+0j)
162,07.02.2018,18:00,15.0,(6.396044389925575+0j)
163,07.02.2018,19:00,20.0,(7.039757752078289+0j)
164,07.02.2018,20:00,20.0,(7.039757752078289+0j)
165,07.02.2018,21:00,16.0,(6.535132194677116+0j)
166,07.02.2018,22:00,15.0,(6.396044389925575+0j)
167,07.02.2018,23:00,17.71,(6.760112185747889+0j)
168,08.02.2018,00:00,27.0,(7.7804067904362775+0j)
169,08.02.2018,01:00,19.0,(6.920416769109193+0j)
170,08.02.2018,02:00,27.0,(7.7804067904362775+0j)
171,08.02.2018,03:00,29.0,(7.9679582309792645+0j)
172,08.02.2018,04:00,25.0,(7.583349155249169+0j)
173,08.02.2018,05:00,32.0,(8.233750615919378+0j)
174,08.02.2018,06:00,25.0,(7.583349155249169+0j)
175,08.02.2018,07:00,21.0,(7.155184132071494+0j)
176,08.02.2018,08:00,24.0,(7.480858900215709+0j)
177,08.02.2018,09:00,25.0,(7.583349155249169+0j)
178,08.02.2018,10:00,24.0,(7.480858900215709+0j)
179,08.02.2018,11:00,30.0,(8.058510962929244+0j)
180,08.02.2018,12:00,42.0,(9.014967103870655+0j)
181,08.02.2018,13:00,27.0,(7.7804067904362775+0j)
182,08.02.2018,14:00,25.0,(7.583349155249169+0j)
183,08.02.2018,15:00,13.0,(6.098113456976981+0j)
184,08.02.2018,16:00,17.0,(6.668538916027042+0j)
185,08.02.2018,17:00,15.0,(6.396044389925575+0j)
186,08.02.2018,18:00,12.0,(5.937561643914042+0j)
187,08.02.2018,19:00,6.0,(4.712645799837591+0j)
188,08.02.2018,20:00,5.0,(4.434769489002025+0j)
189,08.02.2018,21:00,6.0,(4.712645799837591+0j)
190,08.02.2018,22:00,11.0,(5.76782326615353+0j)
191,08.02.2018,23:00,18.88,(6.905816690363589+0j)
192,09.02.2018,00:00,22.0,(7.2670019451002315+0j)
193,09.02.2018,01:00,18.0,(6.796811379826778+0j)
194,09.02.2018,02:00,22.0,(7.2670019451002315+0j)
195,09.02.2018,03:00,20.0,(7.039757752078289+0j)
196,09.02.2018,04:00,18.0,(6.796811379826778+0j)
197,09.02.2018,05:00,12.0,(5.937561643914042+0j)
198,09.02.2018,06:00,6.0,(4.712645799837591+0j)
199,09.02.2018,07:00,12.0,(5.937561643914042+0j)
200,09.02.2018,08:00,7.0,(4.961127588026532+0j)
201,09.02.2018,09:00,5.0,(4.434769489002025+0j)
202,09.02.2018,10:00,4.0,(4.116875307959689+0j)
203,09.02.2018,11:00,2.0,(3.267566097338558+0j)
204,09.02.2018,12:00,2.0,(3.267566097338558+0j)
205,09.02.2018,13:00,0.0,0j
206,09.02.2018,14:00,0.0,0j
207,09.02.2018,15:00,0.0,0j
208,09.02.2018,16:00,0.0,0j
209,09.02.2018,17:00,0.0,0j
210,09.02.2018,18:00,1.0,(2.5934689301454257+0j)
211,09.02.2018,19:00,0.0,0j
212,09.02.2018,20:00,0.0,0j
213,09.02.2018,21:00,0.0,0j
214,09.02.2018,22:00,0.0,0j
215,09.02.2018,23:00,0.52,(2.085525466307224+0j)
216,10.02.2018,00:00,0.0,0j
217,10.02.2018,01:00,0.0,0j
218,10.02.2018,02:00,0.0,0j
219,10.02.2018,03:00,1.0,(2.5934689301454257+0j)
220,10.02.2018,04:00,4.0,(4.116875307959689+0j)
221,10.02.2018,05:00,10.0,(5.587459430625182+0j)
222,10.02.2018,06:00,11.0,(5.76782326615353+0j)
223,10.02.2018,07:00,15.0,(6.396044389925575+0j)
224,10.02.2018,08:00,19.0,(6.920416769109193+0j)
225,10.02.2018,09:00,17.0,(6.668538916027042+0j)
226,10.02.2018,10:00,8.0,(5.186937860290851+0j)
227,10.02.2018,11:00,0.0,0j
228,10.02.2018,12:00,0.0,0j
229,10.02.2018,13:00,0.0,0j
230,10.02.2018,14:00,0.0,0j
231,10.02.2018,15:00,7.0,(4.961127588026532+0j)
232,10.02.2018,16:00,9.0,(5.394632767183229+0j)
233,10.02.2018,17:00,14.0,(6.2506290793688075+0j)
234,10.02.2018,18:00,13.0,(6.098113456976981+0j)
235,10.02.2018,19:00,18.0,(6.796811379826778+0j)
236,10.02.2018,20:00,10.0,(5.587459430625182+0j)
237,10.02.2018,21:00,5.0,(4.434769489002025+0j)
238,10.02.2018,22:00,6.0,(4.712645799837591+0j)
239,10.02.2018,23:00,10.61,(5.6988362408252575+0j)
240,11.02.2018,00:00,7.0,(4.961127588026532+0j)
241,11.02.2018,01:00,11.0,(5.76782326615353+0j)
242,11.02.2018,02:00,16.0,(6.535132194677116+0j)
243,11.02.2018,03:00,4.0,(4.116875307959689+0j)
244,11.02.2018,04:00,16.0,(6.535132194677116+0j)
245,11.02.2018,05:00,26.0,(7.683141509092493+0j)
246,11.02.2018,06:00,34.0,(8.40183255234561+0j)
247,11.02.2018,07:00,31.0,(8.147073119737046+0j)
248,11.02.2018,08:00,30.0,(8.058510962929244+0j)
249,11.02.2018,09:00,41.0,(8.942844277324411+0j)
250,11.02.2018,10:00,37.0,(8.642013840595439+0j)
251,11.02.2018,11:00,31.0,(8.147073119737046+0j)
252,11.02.2018,12:00,32.0,(8.233750615919378+0j)
253,11.02.2018,13:00,35.0,(8.483408843919547+0j)
254,11.02.2018,14:00,13.0,(6.098113456976981+0j)
255,11.02.2018,15:00,18.0,(6.796811379826778+0j)
256,11.02.2018,16:00,17.0,(6.668538916027042+0j)
257,11.02.2018,17:00,21.0,(7.155184132071494+0j)
258,11.02.2018,18:00,11.0,(5.76782326615353+0j)
259,11.02.2018,19:00,8.0,(5.186937860290851+0j)
260,11.02.2018,20:00,10.0,(5.587459430625182+0j)
261,11.02.2018,21:00,7.0,(4.961127588026532+0j)
262,11.02.2018,22:00,3.0,(3.7404294501078543+0j)
263,11.02.2018,23:00,2.27,(3.4084453514604918+0j)
264,12.02.2018,00:00,2.0,(3.267566097338558+0j)
265,12.02.2018,01:00,1.0,(2.5934689301454257+0j)
266,12.02.2018,02:00,0.0,0j
267,12.02.2018,03:00,1.0,(2.5934689301454257+0j)
268,12.02.2018,04:00,0.0,0j
269,12.02.2018,05:00,0.0,0j
270,12.02.2018,06:00,1.0,(2.5934689301454257+0j)
271,12.02.2018,07:00,1.0,(2.5934689301454257+0j)
272,12.02.2018,08:00,0.0,0j
273,12.02.2018,09:00,0.0,0j
274,12.02.2018,10:00,0.0,0j
275,12.02.2018,11:00,0.0,0j
276,12.02.2018,12:00,0.0,0j
277,12.02.2018,13:00,0.0,0j
278,12.02.2018,14:00,0.0,0j
279,12.02.2018,15:00,0.0,0j
280,12.02.2018,16:00,0.0,0j
281,12.02.2018,17:00,0.0,0j
282,12.02.2018,18:00,0.0,0j
283,12.02.2018,19:00,0.0,0j
284,12.02.2018,20:00,0.0,0j
285,12.02.2018,21:00,0.0,0j
