,Tarih,Saat,Toplam (MWh),CNK WindSpeed(m/s)
105,05.02.2018,09:00,30.94,(9.236808123478058+0j)
106,05.02.2018,10:00,27.77,(8.909919472094805+0j)
107,05.02.2018,11:00,26.49,(8.770865914685102+0j)
108,05.02.2018,12:00,23.32,(8.406037717715954+0j)
109,05.02.2018,13:00,21.09,(8.129066548145293+0j)
110,05.02.2018,14:00,20.6,(8.065616324766651+0j)
111,05.02.2018,15:00,19.54,(7.924830926046202+0j)
112,05.02.2018,16:00,23.57,(8.435969738245495+0j)
113,05.02.2018,17:00,28.14,(8.949316138907152+0j)
114,05.02.2018,18:00,27.28,(8.85720318700943+0j)
115,05.02.2018,19:00,26.6,(8.782989519594416+0j)
116,05.02.2018,20:00,25.51,(8.66134434898105+0j)
117,05.02.2018,21:00,28.65,(9.003057580418712+0j)
118,05.02.2018,22:00,32.1,(9.350830034683367+0j)
119,05.02.2018,23:00,26.36,(8.756494669268257+0j)
120,06.02.2018,00:00,23.0,(8.36741092244898+0j)
121,06.02.2018,01:00,26.45,(8.766449010544134+0j)
122,06.02.2018,02:00,23.11,(8.380729063886651+0j)
123,06.02.2018,03:00,27.68,(8.900283646835502+0j)
124,06.02.2018,04:00,22.75,(8.336983704920502+0j)
125,06.02.2018,05:00,18.53,(7.7858666061133555+0j)
126,06.02.2018,06:00,19.86,(7.967857658274741+0j)
127,06.02.2018,07:00,18.66,(7.8040318309439725+0j)
128,06.02.2018,08:00,14.63,(7.196090132866252+0j)
129,06.02.2018,09:00,14.04,(7.098024949889751+0j)
130,06.02.2018,10:00,10.83,(6.509654982583684+0j)
131,06.02.2018,11:00,15.6,(7.35173795078965+0j)
132,06.02.2018,12:00,11.25,(6.592740674919736+0j)
133,06.02.2018,13:00,8.76,(6.06526603087464+0j)
134,06.02.2018,14:00,9.54,(6.240191877854677+0j)
135,06.02.2018,15:00,7.51,(5.761848010092442+0j)
136,06.02.2018,16:00,5.99,(5.343478829830631+0j)
137,06.02.2018,17:00,2.86,(4.1764167609910245+0j)
138,06.02.2018,18:00,4.63,(4.903906140676666+0j)
139,06.02.2018,19:00,5.82,(5.292442486532979+0j)
140,06.02.2018,20:00,4.15,(4.728221910996166+0j)
141,06.02.2018,21:00,8.1,(5.908947870681159+0j)
142,06.02.2018,22:00,13.4,(6.988491132443614+0j)
143,06.02.2018,23:00,11.15,(6.573148462294006+0j)
144,07.02.2018,00:00,7.46,(5.7490324695359885+0j)
145,07.02.2018,01:00,4.1,(4.709156292985338+0j)
146,07.02.2018,02:00,2.16,(3.8033509622204655+0j)
147,07.02.2018,03:00,0.84,(2.776141389125925+0j)
148,07.02.2018,04:00,4.31,(4.788221610147511+0j)
149,07.02.2018,05:00,8.47,(5.9975833072588935+0j)
150,07.02.2018,06:00,11.8,(6.698473158050174+0j)
151,07.02.2018,07:00,28.28,(8.964132914535401+0j)
152,07.02.2018,08:00,28.88,(9.027085348614364+0j)
153,07.02.2018,09:00,18.28,(7.7506932560127915+0j)
154,07.02.2018,10:00,10.42,(6.426448900649299+0j)
155,07.02.2018,11:00,18.49,(7.780260219579841+0j)
156,07.02.2018,12:00,18.17,(7.735115354377366+0j)
157,07.02.2018,13:00,9.97,(6.332573002592765+0j)
158,07.02.2018,14:00,3.44,(4.441550794671054+0j)
159,07.02.2018,15:00,2.81,(4.151935443806673+0j)
160,07.02.2018,16:00,0.71,(2.624830528607832+0j)
161,07.02.2018,17:00,1.06,(2.999971351490563+0j)
162,07.02.2018,18:00,0.88,(2.819525605808655+0j)
163,07.02.2018,19:00,0.31,(1.9912955211622598+0j)
164,07.02.2018,20:00,0.57,(2.4395334134580313+0j)
165,07.02.2018,21:00,0.6,(2.4816026016675603+0j)
166,07.02.2018,22:00,2.6,(4.045817311074181+0j)
167,07.02.2018,23:00,4.61,(4.896834889136312+0j)
168,08.02.2018,00:00,3.63,(4.52186258746677+0j)
169,08.02.2018,01:00,4.7,(4.928496339078817+0j)
170,08.02.2018,02:00,3.68,(4.542529522636831+0j)
171,08.02.2018,03:00,1.61,(3.448448763214654+0j)
172,08.02.2018,04:00,0.79,(2.7199286778107665+0j)
173,08.02.2018,05:00,2.98,(4.2340297674017116+0j)
174,08.02.2018,06:00,18.59,(7.794261077958777+0j)
175,08.02.2018,07:00,48.52,(10.731376115532255+0j)
176,08.02.2018,08:00,59.58,(11.491639283917337+0j)
177,08.02.2018,09:00,59.7,(11.499349208594449+0j)
178,08.02.2018,10:00,38.44,(9.92985588088191+0j)
179,08.02.2018,11:00,42.02,(10.229015460212192+0j)
180,08.02.2018,12:00,33.37,(9.47255686758418+0j)
181,08.02.2018,13:00,22.13,(8.260549860890725+0j)
182,08.02.2018,14:00,19.34,(7.897700173037647+0j)
183,08.02.2018,15:00,21.34,(8.161061000020773+0j)
184,08.02.2018,16:00,25.94,(8.70973903932915+0j)
185,08.02.2018,17:00,18.02,(7.713771108589791+0j)
186,08.02.2018,18:00,15.2,(7.288357745637081+0j)
187,08.02.2018,19:00,8.42,(5.985758388360284+0j)
188,08.02.2018,20:00,11.82,(6.702255470066798+0j)
189,08.02.2018,21:00,16.54,(7.496530645682695+0j)
190,08.02.2018,22:00,14.82,(7.227108146117829+0j)
191,08.02.2018,23:00,13.13,(6.941234675652217+0j)
192,09.02.2018,00:00,6.63,(5.527384314658716+0j)
193,09.02.2018,01:00,2.84,(4.166658742350317+0j)
194,09.02.2018,02:00,1.02,(2.961750994133384+0j)
195,09.02.2018,03:00,0.56,(2.4251828848863+0j)
196,09.02.2018,04:00,0.66,(2.56170902016621+0j)
197,09.02.2018,05:00,0.92,(2.8616142826695263+0j)
198,09.02.2018,06:00,0.44,(2.237858956355967+0j)
199,09.02.2018,07:00,3.09,(4.28549815162622+0j)
200,09.02.2018,08:00,0.14,(1.5277694832565123+0j)
201,09.02.2018,09:00,0.0,0j
202,09.02.2018,10:00,0.0,0j
203,09.02.2018,11:00,0.0,0j
204,09.02.2018,12:00,0.0,0j
205,09.02.2018,13:00,0.0,0j
206,09.02.2018,14:00,0.0,0j
207,09.02.2018,15:00,0.61,(2.4953133915216337+0j)
208,09.02.2018,16:00,0.41,(2.1857967265258096+0j)
209,09.02.2018,17:00,0.18,(1.661266550565902+0j)
210,09.02.2018,18:00,0.0,0j
211,09.02.2018,19:00,0.0,0j
212,09.02.2018,20:00,0.0,0j
213,09.02.2018,21:00,0.0,0j
214,09.02.2018,22:00,0.0,0j
215,09.02.2018,23:00,0.0,0j
216,10.02.2018,00:00,0.08,(1.2677836540734886+0j)
217,10.02.2018,01:00,0.0,0j
218,10.02.2018,02:00,0.17,(1.629914385328295+0j)
219,10.02.2018,03:00,2.43,(3.955644404951842+0j)
220,10.02.2018,04:00,4.14,(4.724421087886279+0j)
221,10.02.2018,05:00,8.94,(6.1065276127038945+0j)
222,10.02.2018,06:00,16.25,(7.452459205870917+0j)
223,10.02.2018,07:00,18.86,(7.831814307451926+0j)
224,10.02.2018,08:00,18.51,(7.783064422460815+0j)
225,10.02.2018,09:00,12.68,(6.861012914968607+0j)
