,Tarih,Saat,Toplam (MWh),KONYA WindSpeed(m/s)
5483,13.05.2019,11:00,0.57,(1.9127389885949826+0j)
5484,13.05.2019,12:00,0.0,0j
5485,13.05.2019,13:00,0.0,0j
5486,13.05.2019,14:00,0.0,0j
5487,13.05.2019,15:00,1.91,(2.862256482576055+0j)
5488,13.05.2019,16:00,8.09,(4.631058486091489+0j)
5489,13.05.2019,17:00,5.04,(3.9552530191764688+0j)
5490,13.05.2019,18:00,2.95,(3.308553009101923+0j)
5491,13.05.2019,19:00,4.19,(3.7190792503343286+0j)
5492,13.05.2019,20:00,4.98,(3.939494871935765+0j)
5493,13.05.2019,21:00,1.68,(2.742419273755392+0j)
5494,13.05.2019,22:00,1.05,(2.3447354969121483+0j)
5495,13.05.2019,23:00,0.15,(1.2257291417634533+0j)
5496,14.05.2019,00:00,1.92,(2.867243002208616+0j)
5497,14.05.2019,01:00,1.02,(2.3221885667713287+0j)
5498,14.05.2019,02:00,0.0,0j
5499,14.05.2019,03:00,0.0,0j
5500,14.05.2019,04:00,0.0,0j
5501,14.05.2019,05:00,0.0,0j
5502,14.05.2019,06:00,0.0,0j
5503,14.05.2019,07:00,0.0,0j
5504,14.05.2019,08:00,0.0,0j
5505,14.05.2019,09:00,0.5,(1.830996131297393+0j)
5506,14.05.2019,10:00,1.61,(2.7037885044677585+0j)
5507,14.05.2019,11:00,1.24,(2.4783995427635355+0j)
5508,14.05.2019,12:00,2.22,(3.0094127045248737+0j)
5509,14.05.2019,13:00,0.8,(2.1415460666050845+0j)
5510,14.05.2019,14:00,0.31,(1.5612938769888036+0j)
5511,14.05.2019,15:00,0.04,(0.7889523165162555+0j)
5512,14.05.2019,16:00,0.0,0j
5513,14.05.2019,17:00,0.0,0j
5514,14.05.2019,18:00,0.0,0j
5515,14.05.2019,19:00,0.0,0j
5516,14.05.2019,20:00,0.01,(0.4970088154710765+0j)
5517,14.05.2019,21:00,0.02,(0.6261918685953259+0j)
5518,14.05.2019,22:00,0.38,(1.6709314145760432+0j)
5519,14.05.2019,23:00,0.44,(1.7546142443406931+0j)
5520,15.05.2019,00:00,0.92,(2.24367544161798+0j)
5521,15.05.2019,01:00,3.13,(3.3745215382725595+0j)
5522,15.05.2019,02:00,1.87,(2.8421345063278416+0j)
5523,15.05.2019,03:00,1.71,(2.7586469844113406+0j)
5524,15.05.2019,04:00,0.2,(1.349089484317657+0j)
5525,15.05.2019,05:00,0.0,0j
5526,15.05.2019,06:00,0.0,0j
5527,15.05.2019,07:00,0.0,0j
5528,15.05.2019,08:00,0.03,(0.716810750552154+0j)
5529,15.05.2019,09:00,0.67,(2.018625210381308+0j)
5530,15.05.2019,10:00,1.54,(2.6640211321304488+0j)
5531,15.05.2019,11:00,0.7,(2.048315125076211+0j)
5532,15.05.2019,12:00,1.9,(2.857252527471502+0j)
5533,15.05.2019,13:00,22.92,(6.552931522890826+0j)
5534,15.05.2019,14:00,22.09,(6.4728567707100035+0j)
5535,15.05.2019,15:00,31.97,(7.321695064419837+0j)
5536,15.05.2019,16:00,49.45,(8.467454218886024+0j)
5537,15.05.2019,17:00,48.06,(8.387361222617695+0j)
5538,15.05.2019,18:00,48.8,(8.430190058674453+0j)
5539,15.05.2019,19:00,59.49,(9.005588148587606+0j)
5540,15.05.2019,20:00,64.88,(9.269743255556138+0j)
5541,15.05.2019,21:00,56.75,(8.865149160026577+0j)
5542,15.05.2019,22:00,45.96,(8.263374429202054+0j)
5543,15.05.2019,23:00,28.41,(7.039165397201374+0j)
5544,16.05.2019,00:00,39.46,(7.853859338962011+0j)
5545,16.05.2019,01:00,35.42,(7.5761217312925675+0j)
5546,16.05.2019,02:00,26.17,(6.849076222610573+0j)
5547,16.05.2019,03:00,27.99,(7.004305145748206+0j)
5548,16.05.2019,04:00,14.48,(5.622812640986724+0j)
5549,16.05.2019,05:00,5.83,(4.151964295348313+0j)
5550,16.05.2019,06:00,5.75,(4.132885499823259+0j)
5551,16.05.2019,07:00,2.84,(3.2669077556787873+0j)
5552,16.05.2019,08:00,1.12,(2.3957239036690186+0j)
5553,16.05.2019,09:00,0.0,0j
5554,16.05.2019,10:00,0.0,0j
5555,16.05.2019,11:00,0.0,0j
5556,16.05.2019,12:00,0.0,0j
5557,16.05.2019,13:00,0.0,0j
5558,16.05.2019,14:00,0.56,(1.9014873224547808+0j)
5559,16.05.2019,15:00,8.9,(4.780728648921705+0j)
5560,16.05.2019,16:00,12.87,(5.4061771701442805+0j)
5561,16.05.2019,17:00,11.93,(5.271217137078775+0j)
5562,16.05.2019,18:00,12.15,(5.303421984064827+0j)
5563,16.05.2019,19:00,13.52,(5.495699642305715+0j)
5564,16.05.2019,20:00,17.83,(6.026722658569378+0j)
5565,16.05.2019,21:00,21.02,(6.366611203169702+0j)
5566,16.05.2019,22:00,24.91,(6.737343151764455+0j)
5567,16.05.2019,23:00,16.75,(5.902495921958622+0j)
5568,17.05.2019,00:00,12.0,(5.281506767196385+0j)
5569,17.05.2019,01:00,6.0,(4.191934699112353+0j)
5570,17.05.2019,02:00,4.5,(3.8086254327823275+0j)
5571,17.05.2019,03:00,5.5,(4.072098941914843+0j)
5572,17.05.2019,04:00,7.21,(4.456656688079853+0j)
5573,17.05.2019,05:00,8.71,(4.746463478677181+0j)
5574,17.05.2019,06:00,8.81,(4.7645592064088085+0j)
5575,17.05.2019,07:00,3.5,(3.502569595094391+0j)
5576,17.05.2019,08:00,2.12,(2.9635303472897245+0j)
5577,17.05.2019,09:00,1.61,(2.7037885044677585+0j)
5578,17.05.2019,10:00,10.73,(5.0881979567102+0j)
5579,17.05.2019,11:00,10.34,(5.025789231863287+0j)
5580,17.05.2019,12:00,9.59,(4.9012135740140526+0j)
5581,17.05.2019,13:00,7.78,(4.571134052787942+0j)
5582,17.05.2019,14:00,11.48,(5.204089072251678+0j)
5583,17.05.2019,15:00,15.89,(5.799698150431923+0j)
5584,17.05.2019,16:00,28.87,(7.076953682018367+0j)
5585,17.05.2019,17:00,24.76,(6.723792545691809+0j)
5586,17.05.2019,18:00,13.56,(5.501114128213961+0j)
5587,17.05.2019,19:00,27.41,(6.955586732660243+0j)
5588,17.05.2019,20:00,63.97,(9.226200227942668+0j)
5589,17.05.2019,21:00,65.58,(9.302961622152594+0j)
5590,17.05.2019,22:00,61.17,(9.08957516649229+0j)
5591,17.05.2019,23:00,51.74,(8.596194499238516+0j)
5592,18.05.2019,00:00,39.33,(7.845225068034507+0j)
5593,18.05.2019,01:00,21.64,(6.4286015803392065+0j)
5594,18.05.2019,02:00,0.13,(1.1686340679201472+0j)
5595,18.05.2019,03:00,0.15,(1.2257291417634533+0j)
5596,18.05.2019,04:00,0.02,(0.6261918685953259+0j)
5597,18.05.2019,05:00,2.61,(3.176222571438551+0j)
5598,18.05.2019,06:00,17.45,(5.983600213520049+0j)
5599,18.05.2019,07:00,17.0,(5.931716675044451+0j)
5600,18.05.2019,08:00,21.53,(6.41769049357703+0j)
5601,18.05.2019,09:00,43.37,(8.10514084246538+0j)
5602,18.05.2019,10:00,26.89,(6.911320387360794+0j)
5603,18.05.2019,11:00,18.99,(6.1546838152539785+0j)
5604,18.05.2019,12:00,13.11,(5.439575250739951+0j)
5605,18.05.2019,13:00,6.52,(4.309695872061236+0j)
5606,18.05.2019,14:00,31.82,(7.310226225055059+0j)
5607,18.05.2019,15:00,51.65,(8.591207342153604+0j)
5608,18.05.2019,16:00,44.1,(8.150363062477696+0j)
5609,18.05.2019,17:00,43.77,(8.129982437816137+0j)
5610,18.05.2019,18:00,29.76,(7.1489413512015725+0j)
5611,18.05.2019,19:00,21.5,(6.414708294962883+0j)
5612,18.05.2019,20:00,35.34,(7.570413594468667+0j)
5613,18.05.2019,21:00,31.41,(7.2786930318770136+0j)
5614,18.05.2019,22:00,14.79,(5.662655613780048+0j)
5615,18.05.2019,23:00,13.04,(5.4298765478549935+0j)
5616,19.05.2019,00:00,29.0,(7.087560153718945+0j)
5617,19.05.2019,01:00,27.26,(6.942875471269009+0j)
5618,19.05.2019,02:00,25.66,(6.804292520556754+0j)
5619,19.05.2019,03:00,23.2,(6.579508013412145+0j)
5620,19.05.2019,04:00,21.65,(6.429591662224619+0j)
5621,19.05.2019,05:00,13.75,(5.526688552225564+0j)
5622,19.05.2019,06:00,5.0,(3.9447615825812776+0j)
5623,19.05.2019,07:00,1.89,(2.852230983682171+0j)
5624,19.05.2019,08:00,0.24,(1.433621501104308+0j)
5625,19.05.2019,09:00,0.0,0j
5626,19.05.2019,10:00,0.26,(1.4723866617968684+0j)
5627,19.05.2019,11:00,3.32,(3.441465761051912+0j)
5628,19.05.2019,12:00,5.47,(4.064681623231403+0j)
5629,19.05.2019,13:00,6.32,(4.265171036023406+0j)
5630,19.05.2019,14:00,4.24,(3.7338142665525877+0j)
5631,19.05.2019,15:00,8.81,(4.7645592064088085+0j)
5632,19.05.2019,16:00,14.83,(5.667755959355354+0j)
5633,19.05.2019,17:00,14.25,(5.592882731223066+0j)
5634,19.05.2019,18:00,18.19,(6.067013922988731+0j)
5635,19.05.2019,19:00,18.16,(6.063676730938629+0j)
5636,19.05.2019,20:00,23.5,(6.607746591259086+0j)
5637,19.05.2019,21:00,36.73,(7.6683936935078965+0j)
5638,19.05.2019,22:00,17.12,(5.94564094368362+0j)
5639,19.05.2019,23:00,18.65,(6.117730911525217+0j)
5640,20.05.2019,00:00,16.72,(5.8989699378925575+0j)
5641,20.05.2019,01:00,19.32,(6.190130419832432+0j)
5642,20.05.2019,02:00,26.3,(6.860398469936721+0j)
5643,20.05.2019,03:00,4.4,(3.780201795631669+0j)
5644,20.05.2019,04:00,5.8,(4.144830322024981+0j)
5645,20.05.2019,05:00,2.4,(3.0886438943547034+0j)
5646,20.05.2019,06:00,2.14,(2.97282047184181+0j)
5647,20.05.2019,07:00,1.25,(2.4850440773553824+0j)
5648,20.05.2019,08:00,0.0,0j
5649,20.05.2019,09:00,4.66,(3.853240036744223+0j)
5650,20.05.2019,10:00,4.76,(3.8806077154643566+0j)
5651,20.05.2019,11:00,0.83,(2.167987577420892+0j)
5652,20.05.2019,12:00,0.0,0j
5653,20.05.2019,13:00,0.0,0j
5654,20.05.2019,14:00,1.12,(2.3957239036690186+0j)
5655,20.05.2019,15:00,1.78,(2.7957870742058986+0j)
5656,20.05.2019,16:00,0.17,(1.2779496176156349+0j)
5657,20.05.2019,17:00,2.05,(2.9305471436315926+0j)
5658,20.05.2019,18:00,12.96,(5.418749720469611+0j)
5659,20.05.2019,19:00,17.88,(6.032350904890831+0j)
5660,20.05.2019,20:00,36.12,(7.625705091000325+0j)
5661,20.05.2019,21:00,32.4,(7.354374850580719+0j)
5662,20.05.2019,22:00,16.8,(5.9083632179906616+0j)
5663,20.05.2019,23:00,9.65,(4.91141383980309+0j)
5664,21.05.2019,00:00,0.26,(1.4723866617968684+0j)
5665,21.05.2019,01:00,0.0,0j
5666,21.05.2019,02:00,0.0,0j
5667,21.05.2019,03:00,0.0,0j
5668,21.05.2019,04:00,0.0,0j
5669,21.05.2019,05:00,0.0,0j
5670,21.05.2019,06:00,0.89,(2.219017671336769+0j)
5671,21.05.2019,07:00,0.18,(1.3025315759917813+0j)
5672,21.05.2019,08:00,0.09,(1.033819996975575+0j)
5673,21.05.2019,09:00,0.24,(1.433621501104308+0j)
5674,21.05.2019,10:00,3.66,(3.555148835094052+0j)
5675,21.05.2019,11:00,5.9,(4.168515580860537+0j)
5676,21.05.2019,12:00,16.7,(5.896616938066577+0j)
5677,21.05.2019,13:00,26.05,(6.8385915889622115+0j)
5678,21.05.2019,14:00,29.45,(7.124031945925746+0j)
5679,21.05.2019,15:00,27.72,(6.981710456021516+0j)
5680,21.05.2019,16:00,40.48,(7.920955860328004+0j)
5681,21.05.2019,17:00,37.28,(7.706480073488446+0j)
5682,21.05.2019,18:00,60.48,(9.055268927906742+0j)
5683,21.05.2019,19:00,66.0,(9.322779311792546+0j)
5684,21.05.2019,20:00,34.13,(7.483007629128558+0j)
5685,21.05.2019,21:00,49.12,(8.448576572881487+0j)
5686,21.05.2019,22:00,33.53,(7.438898100802861+0j)
5687,21.05.2019,23:00,55.28,(8.787933665060635+0j)
5688,22.05.2019,00:00,42.6,(8.056887352778883+0j)
5689,22.05.2019,01:00,27.47,(6.960658252308042+0j)
5690,22.05.2019,02:00,11.46,(5.201065196456236+0j)
5691,22.05.2019,03:00,0.77,(2.1144349738046944+0j)
5692,22.05.2019,04:00,1.2,(2.4514582835269065+0j)
5693,22.05.2019,05:00,5.13,(3.9786574278970837+0j)
5694,22.05.2019,06:00,13.39,(5.478028460363975+0j)
5695,22.05.2019,07:00,15.18,(5.711997592991006+0j)
5696,22.05.2019,08:00,15.44,(5.744424474915358+0j)
5697,22.05.2019,09:00,11.83,(5.256447608458833+0j)
5698,22.05.2019,10:00,8.65,(4.735539473477929+0j)
5699,22.05.2019,11:00,9.92,(4.956799085527071+0j)
5700,22.05.2019,12:00,5.56,(4.0868530524789355+0j)
5701,22.05.2019,13:00,0.49,(1.8187071963850634+0j)
5702,22.05.2019,14:00,9.97,(4.965113088167815+0j)
5703,22.05.2019,15:00,13.84,(5.538720568182672+0j)
5704,22.05.2019,16:00,8.37,(4.68388163096641+0j)
5705,22.05.2019,17:00,13.23,(5.45612158915519+0j)
5706,22.05.2019,18:00,9.02,(4.80211921855066+0j)
5707,22.05.2019,19:00,5.39,(4.044768595335519+0j)
5708,22.05.2019,20:00,10.6,(5.067565611111867+0j)
5709,22.05.2019,21:00,43.21,(8.095161436184318+0j)
5710,22.05.2019,22:00,32.71,(7.377755750398828+0j)
5711,22.05.2019,23:00,20.82,(6.346354587711504+0j)
5712,23.05.2019,00:00,3.47,(3.4925335240520066+0j)
5713,23.05.2019,01:00,0.25,(1.4532625924855926+0j)
5714,23.05.2019,02:00,0.0,0j
5715,23.05.2019,03:00,0.0,0j
5716,23.05.2019,04:00,2.3,(3.045136072324601+0j)
5717,23.05.2019,05:00,7.2,(4.454595329465672+0j)
5718,23.05.2019,06:00,6.21,(4.240280877040003+0j)
5719,23.05.2019,07:00,5.24,(4.006894006006857+0j)
5720,23.05.2019,08:00,11.16,(5.1552787959616655+0j)
5721,23.05.2019,09:00,16.08,(5.822722684568285+0j)
5722,23.05.2019,10:00,16.73,(5.900145734203923+0j)
5723,23.05.2019,11:00,17.32,(5.9687041728143235+0j)
5724,23.05.2019,12:00,22.15,(6.478711913450874+0j)
5725,23.05.2019,13:00,20.47,(6.310591083221751+0j)
5726,23.05.2019,14:00,39.24,(7.839236344281152+0j)
5727,23.05.2019,15:00,52.15,(8.618840878667905+0j)
5728,23.05.2019,16:00,45.45,(8.232695534561927+0j)
5729,23.05.2019,17:00,44.01,(8.14481482178249+0j)
5730,23.05.2019,18:00,28.48,(7.0449419716320225+0j)
5731,23.05.2019,19:00,16.53,(5.876540177805695+0j)
5732,23.05.2019,20:00,5.21,(3.999232622103763+0j)
5733,23.05.2019,21:00,10.4,(5.035491551760483+0j)
5734,23.05.2019,22:00,0.8,(2.1415460666050845+0j)
5735,23.05.2019,23:00,0.99,(2.299195090506109+0j)
5736,24.05.2019,00:00,17.69,(6.010907381140383+0j)
5737,24.05.2019,01:00,16.1,(5.825135748534765+0j)
5738,24.05.2019,02:00,14.46,(5.620222676253195+0j)
5739,24.05.2019,03:00,30.92,(7.240644976337781+0j)
5740,24.05.2019,04:00,16.29,(5.847960807284119+0j)
5741,24.05.2019,05:00,2.43,(3.1014599909267253+0j)
5742,24.05.2019,06:00,15.77,(5.785061625998603+0j)
5743,24.05.2019,07:00,6.64,(4.335975154841784+0j)
5744,24.05.2019,08:00,5.78,(4.1400606626656575+0j)
5745,24.05.2019,09:00,11.83,(5.256447608458833+0j)
5746,24.05.2019,10:00,31.09,(7.253890563226925+0j)
5747,24.05.2019,11:00,62.1,(9.1354082169738+0j)
5748,24.05.2019,12:00,65.06,(9.278307852287133+0j)
5749,24.05.2019,13:00,57.03,(8.879705227712751+0j)
5750,24.05.2019,14:00,61.73,(9.117228740972775+0j)
5751,24.05.2019,15:00,63.71,(9.213683582993196+0j)
5752,24.05.2019,16:00,57.3,(8.893696383037472+0j)
5753,24.05.2019,17:00,60.52,(9.057264799456476+0j)
5754,24.05.2019,18:00,63.6,(9.20837782747936+0j)
5755,24.05.2019,19:00,55.39,(8.793758750846804+0j)
5756,24.05.2019,20:00,59.66,(9.01415818278552+0j)
5757,24.05.2019,21:00,64.3,(9.242037993502803+0j)
5758,24.05.2019,22:00,64.47,(9.250175701435726+0j)
5759,24.05.2019,23:00,54.51,(8.746940102853433+0j)
5760,25.05.2019,00:00,26.0,(6.834213488156738+0j)
5761,25.05.2019,01:00,2.06,(2.935304533709765+0j)
5762,25.05.2019,02:00,5.77,(4.137671706184447+0j)
5763,25.05.2019,03:00,25.07,(6.751737305604372+0j)
5764,25.05.2019,04:00,51.4,(8.577323660330862+0j)
5765,25.05.2019,05:00,36.5,(7.652353899953591+0j)
5766,25.05.2019,06:00,12.4,(5.3395499506889195+0j)
5767,25.05.2019,07:00,0.77,(2.1144349738046944+0j)
5768,25.05.2019,08:00,3.94,(3.6435899808461305+0j)
5769,25.05.2019,09:00,4.17,(3.7131524207691817+0j)
5770,25.05.2019,10:00,0.85,(2.185263107187418+0j)
5771,25.05.2019,11:00,0.0,0j
5772,25.05.2019,12:00,0.89,(2.219017671336769+0j)
5773,25.05.2019,13:00,2.45,(3.1099455598662704+0j)
5774,25.05.2019,14:00,1.45,(2.6110794854809094+0j)
5775,25.05.2019,15:00,0.56,(1.9014873224547808+0j)
5776,25.05.2019,16:00,6.82,(4.374806850034061+0j)
5777,25.05.2019,17:00,16.0,(5.813050369942371+0j)
5778,25.05.2019,18:00,32.5,(7.361933308984341+0j)
5779,25.05.2019,19:00,42.0,(8.018882602077612+0j)
5780,25.05.2019,20:00,36.0,(7.617250865564655+0j)
5781,25.05.2019,21:00,21.0,(6.364591339073747+0j)
5782,25.05.2019,22:00,27.0,(6.9207317042929875+0j)
5783,25.05.2019,23:00,30.5,(7.207711113123165+0j)
5784,26.05.2019,00:00,57.0,(8.87814793107827+0j)
5785,26.05.2019,01:00,55.2,(8.78369238367549+0j)
5786,26.05.2019,02:00,37.21,(7.701653610696553+0j)
5787,26.05.2019,03:00,27.72,(6.981710456021516+0j)
5788,26.05.2019,04:00,22.48,(6.510727631511539+0j)
5789,26.05.2019,05:00,18.17,(6.064789536383128+0j)
5790,26.05.2019,06:00,16.65,(5.890726207933451+0j)
5791,26.05.2019,07:00,12.41,(5.340984927901429+0j)
5792,26.05.2019,08:00,19.25,(6.182645369702582+0j)
5793,26.05.2019,09:00,8.78,(4.75914492991964+0j)
5794,26.05.2019,10:00,4.66,(3.853240036744223+0j)
5795,26.05.2019,11:00,0.53,(1.8669071332762939+0j)
5796,26.05.2019,12:00,0.03,(0.716810750552154+0j)
5797,26.05.2019,13:00,0.0,0j
5798,26.05.2019,14:00,0.02,(0.6261918685953259+0j)
5799,26.05.2019,15:00,0.16,(1.2523837371906519+0j)
5800,26.05.2019,16:00,0.59,(1.9348535372863154+0j)
5801,26.05.2019,17:00,0.55,(1.8901008978158347+0j)
5802,26.05.2019,18:00,3.09,(3.360084905968935+0j)
5803,26.05.2019,19:00,9.1,(4.816274404974776+0j)
5804,26.05.2019,20:00,10.8,(5.0992387184509065+0j)
5805,26.05.2019,21:00,30.0,(7.16810750552154+0j)
5806,26.05.2019,22:00,19.85,(6.246224588355925+0j)
5807,26.05.2019,23:00,6.4,(4.283092133210169+0j)
5808,27.05.2019,00:00,10.74,(5.089778142512628+0j)
5809,27.05.2019,01:00,11.54,(5.21313968017622+0j)
5810,27.05.2019,02:00,13.34,(5.471201398878297+0j)
5811,27.05.2019,03:00,11.73,(5.241594611488431+0j)
5812,27.05.2019,04:00,12.45,(5.346717140433868+0j)
5813,27.05.2019,05:00,5.89,(4.166159155496401+0j)
5814,27.05.2019,06:00,0.28,(1.509211487984457+0j)
5815,27.05.2019,07:00,0.02,(0.6261918685953259+0j)
5816,27.05.2019,08:00,0.0,0j
5817,27.05.2019,09:00,0.0,0j
5818,27.05.2019,10:00,0.0,0j
5819,27.05.2019,11:00,0.23,(1.4134269590133344+0j)
5820,27.05.2019,12:00,1.22,(2.4650025268069866+0j)
5821,27.05.2019,13:00,0.12,(1.137866139488604+0j)
5822,27.05.2019,14:00,0.0,0j
5823,27.05.2019,15:00,1.1,(2.3813779075833685+0j)
5824,27.05.2019,16:00,3.54,(3.5158622067170717+0j)
5825,27.05.2019,17:00,1.31,(2.5241850514328172+0j)
5826,27.05.2019,18:00,4.73,(3.872437990845711+0j)
5827,27.05.2019,19:00,10.46,(5.04515662643854+0j)
5828,27.05.2019,20:00,9.88,(4.950127746259894+0j)
5829,27.05.2019,21:00,3.82,(3.6062171925956297+0j)
5830,27.05.2019,22:00,0.72,(2.06763999395115+0j)
5831,27.05.2019,23:00,1.34,(2.5433083944078767+0j)
5832,28.05.2019,00:00,3.96,(3.6497447053495167+0j)
5833,28.05.2019,01:00,1.33,(2.536965953131107+0j)
5834,28.05.2019,02:00,0.17,(1.2779496176156349+0j)
5835,28.05.2019,03:00,0.26,(1.4723866617968684+0j)
5836,28.05.2019,04:00,1.22,(2.4650025268069866+0j)
5837,28.05.2019,05:00,2.9,(3.289754006706073+0j)
5838,28.05.2019,06:00,2.77,(3.239843371110874+0j)
5839,28.05.2019,07:00,0.0,0j
5840,28.05.2019,08:00,0.0,0j
5841,28.05.2019,09:00,0.0,0j
5842,28.05.2019,10:00,0.0,0j
5843,28.05.2019,11:00,0.0,0j
5844,28.05.2019,12:00,0.02,(0.6261918685953259+0j)
5845,28.05.2019,13:00,0.04,(0.7889523165162555+0j)
5846,28.05.2019,14:00,0.05,(0.8498731197418178+0j)
5847,28.05.2019,15:00,0.35,(1.6257487921541758+0j)
5848,28.05.2019,16:00,0.41,(1.713794366129565+0j)
5849,28.05.2019,17:00,0.82,(2.15924559707788+0j)
5850,28.05.2019,18:00,0.49,(1.8187071963850634+0j)
5851,28.05.2019,19:00,3.0,(3.3271407755764733+0j)
5852,28.05.2019,20:00,4.28,(3.7455190900319058+0j)
5853,28.05.2019,21:00,1.29,(2.5112733931487683+0j)
5854,28.05.2019,22:00,26.16,(6.848203728814813+0j)
5855,28.05.2019,23:00,5.94,(4.177914745897206+0j)
5856,29.05.2019,00:00,2.56,(3.155809266065022+0j)
5857,29.05.2019,01:00,26.9,(6.912177021031858+0j)
5858,29.05.2019,02:00,6.8,(4.370526214374836+0j)
5859,29.05.2019,03:00,0.0,0j
5860,29.05.2019,04:00,0.11,(1.1053377104451128+0j)
5861,29.05.2019,05:00,5.91,(4.170869345099187+0j)
5862,29.05.2019,06:00,26.05,(6.8385915889622115+0j)
5863,29.05.2019,07:00,46.95,(8.322285762776017+0j)
5864,29.05.2019,08:00,53.02,(8.666505155476763+0j)
5865,29.05.2019,09:00,43.11,(8.088911791581522+0j)
5866,29.05.2019,10:00,27.56,(6.968251703695472+0j)
5867,29.05.2019,11:00,14.72,(5.653707836053337+0j)
5868,29.05.2019,12:00,5.87,(4.161438291220138+0j)
5869,29.05.2019,13:00,6.5,(4.3052847166020705+0j)
5870,29.05.2019,14:00,15.29,(5.725761495827501+0j)
5871,29.05.2019,15:00,21.75,(6.43947575412961+0j)
5872,29.05.2019,16:00,19.0,(6.155763963365881+0j)
5873,29.05.2019,17:00,15.0,(5.68933069744302+0j)
5874,29.05.2019,18:00,11.64,(5.228154566320469+0j)
5875,29.05.2019,19:00,0.03,(0.716810750552154+0j)
5876,29.05.2019,20:00,6.41,(4.285321749507294+0j)
5877,29.05.2019,21:00,24.36,(6.687387974466238+0j)
5878,29.05.2019,22:00,37.5,(7.721609735886759+0j)
5879,29.05.2019,23:00,33.4,(7.429271803436734+0j)
5880,30.05.2019,00:00,8.44,(4.696902814489139+0j)
5881,30.05.2019,01:00,27.91,(6.997625627908843+0j)
5882,30.05.2019,02:00,27.33,(6.948813180735887+0j)
5883,30.05.2019,03:00,17.51,(5.990450362848793+0j)
5884,30.05.2019,04:00,10.58,(5.064376456329271+0j)
5885,30.05.2019,05:00,7.32,(4.479206852844234+0j)
5886,30.05.2019,06:00,4.69,(3.861491111268878+0j)
5887,30.05.2019,07:00,0.26,(1.4723866617968684+0j)
5888,30.05.2019,08:00,0.0,0j
5889,30.05.2019,09:00,0.0,0j
5890,30.05.2019,10:00,0.0,0j
5891,30.05.2019,11:00,0.24,(1.433621501104308+0j)
5892,30.05.2019,12:00,1.88,(2.847191695829701+0j)
5893,30.05.2019,13:00,2.61,(3.176222571438551+0j)
5894,30.05.2019,14:00,1.27,(2.498227581762681+0j)
5895,30.05.2019,15:00,8.21,(4.65384388850528+0j)
5896,30.05.2019,16:00,4.2,(3.722035594385523+0j)
5897,30.05.2019,17:00,2.86,(3.274558621456051+0j)
5898,30.05.2019,18:00,26.74,(6.898445319566083+0j)
5899,30.05.2019,19:00,40.0,(7.889523165162554+0j)
5900,30.05.2019,20:00,39.5,(7.856512221899439+0j)
5901,30.05.2019,21:00,34.6,(7.517200341835798+0j)
5902,30.05.2019,22:00,26.65,(6.890697152821947+0j)
5903,30.05.2019,23:00,37.3,(7.70785795302317+0j)
5904,31.05.2019,00:00,70.96,(9.550701993717583+0j)
5905,31.05.2019,01:00,68.03,(9.417397794196017+0j)
5906,31.05.2019,02:00,65.32,(9.290651092595889+0j)
5907,31.05.2019,03:00,63.56,(9.206446945093655+0j)
5908,31.05.2019,04:00,66.66,(9.353752228066645+0j)
5909,31.05.2019,05:00,66.53,(9.347667724024722+0j)
5910,31.05.2019,06:00,65.58,(9.302961622152594+0j)
5911,31.05.2019,07:00,56.26,(8.839560403835279+0j)
5912,31.05.2019,08:00,56.02,(8.826972903141723+0j)
5913,31.05.2019,09:00,50.64,(8.534838826739449+0j)
5914,31.05.2019,10:00,46.47,(8.293827200686625+0j)
5915,31.05.2019,11:00,32.71,(7.377755750398828+0j)
5916,31.05.2019,12:00,14.93,(5.680466824890642+0j)
5917,31.05.2019,13:00,6.99,(4.4108587500378365+0j)
5918,31.05.2019,14:00,1.82,(2.816574358449373+0j)
5919,31.05.2019,15:00,1.35,(2.5496193592254532+0j)
5920,31.05.2019,16:00,5.18,(3.991541771158224+0j)
5921,31.05.2019,17:00,3.98,(3.655878741605752+0j)
5922,31.05.2019,18:00,15.07,(5.698167036222283+0j)
5923,31.05.2019,19:00,10.04,(4.97670612278748+0j)
5924,31.05.2019,20:00,19.01,(6.156843732544906+0j)
5925,31.05.2019,21:00,39.9,(7.882943076067187+0j)
5926,31.05.2019,22:00,35.31,(7.568270822320673+0j)
5927,31.05.2019,23:00,14.81,(5.665206934518927+0j)
5928,01.06.2019,00:00,1.22,(2.4650025268069866+0j)
5929,01.06.2019,01:00,0.33,(1.5941728379340387+0j)
5930,01.06.2019,02:00,0.0,0j
5931,01.06.2019,03:00,0.18,(1.3025315759917813+0j)
5932,01.06.2019,04:00,4.07,(3.6832304721935123+0j)
5933,01.06.2019,05:00,2.8,(3.251497584308351+0j)
5934,01.06.2019,06:00,7.23,(4.460773694289926+0j)
5935,01.06.2019,07:00,4.23,(3.730876567254362+0j)
5936,01.06.2019,08:00,0.94,(2.2598175465575947+0j)
5937,01.06.2019,09:00,0.0,0j
5938,01.06.2019,10:00,0.0,0j
5939,01.06.2019,11:00,0.0,0j
5940,01.06.2019,12:00,0.0,0j
5941,01.06.2019,13:00,0.0,0j
5942,01.06.2019,14:00,7.7,(4.55541205738149+0j)
5943,01.06.2019,15:00,9.23,(4.839100691023977+0j)
5944,01.06.2019,16:00,18.69,(6.122101501267948+0j)
5945,01.06.2019,17:00,24.52,(6.701997279170307+0j)
5946,01.06.2019,18:00,13.49,(5.49163176543644+0j)
