,Tarih,Saat,Toplam (MWh),KONYA WindSpeed(m/s)
108,01.10.2018,12:00,9.2,(4.833852204594382+0j)
109,01.10.2018,13:00,9.07,(4.810975969008854+0j)
110,01.10.2018,14:00,5.81,(4.147211040711593+0j)
111,01.10.2018,15:00,10.25,(5.011165126212123+0j)
112,01.10.2018,16:00,7.97,(4.608046635622955+0j)
113,01.10.2018,17:00,6.09,(4.212790438921926+0j)
114,01.10.2018,18:00,4.53,(3.817070306179616+0j)
115,01.10.2018,19:00,6.06,(4.205861494772726+0j)
116,01.10.2018,20:00,3.9,(3.6312177634065708+0j)
117,01.10.2018,21:00,2.14,(2.97282047184181+0j)
118,01.10.2018,22:00,0.1,(1.0707730333025423+0j)
119,01.10.2018,23:00,3.76,(3.587236750661721+0j)
120,02.10.2018,00:00,7.4,(4.4954654594690675+0j)
121,02.10.2018,01:00,3.88,(3.6249999126060497+0j)
122,02.10.2018,02:00,1.57,(2.681208840658406+0j)
123,02.10.2018,03:00,2.4,(3.0886438943547034+0j)
124,02.10.2018,04:00,2.47,(3.118385073590754+0j)
125,02.10.2018,05:00,1.57,(2.681208840658406+0j)
126,02.10.2018,06:00,0.08,(0.9940176309421529+0j)
127,02.10.2018,07:00,0.73,(2.0771684234452765+0j)
128,02.10.2018,08:00,0.38,(1.6709314145760432+0j)
129,02.10.2018,09:00,0.0,0j
130,02.10.2018,10:00,0.0,0j
131,02.10.2018,11:00,0.01,(0.4970088154710765+0j)
132,02.10.2018,12:00,0.07,(0.9507436612273904+0j)
133,02.10.2018,13:00,0.05,(0.8498731197418178+0j)
134,02.10.2018,14:00,0.01,(0.4970088154710765+0j)
135,02.10.2018,15:00,0.01,(0.4970088154710765+0j)
136,02.10.2018,16:00,0.0,0j
137,02.10.2018,17:00,0.21,(1.371209636877696+0j)
138,02.10.2018,18:00,0.0,0j
139,02.10.2018,19:00,0.0,0j
140,02.10.2018,20:00,0.0,0j
141,02.10.2018,21:00,0.02,(0.6261918685953259+0j)
142,02.10.2018,22:00,0.0,0j
143,02.10.2018,23:00,0.28,(1.509211487984457+0j)
144,03.10.2018,00:00,0.07,(0.9507436612273904+0j)
145,03.10.2018,01:00,0.0,0j
146,03.10.2018,02:00,0.0,0j
147,03.10.2018,03:00,0.0,0j
148,03.10.2018,04:00,0.0,0j
149,03.10.2018,05:00,0.01,(0.4970088154710765+0j)
150,03.10.2018,06:00,0.14,(1.1978619518345093+0j)
151,03.10.2018,07:00,0.11,(1.1053377104451128+0j)
152,03.10.2018,08:00,0.0,0j
153,03.10.2018,09:00,0.0,0j
154,03.10.2018,10:00,0.0,0j
155,03.10.2018,11:00,0.0,0j
156,03.10.2018,12:00,0.0,0j
157,03.10.2018,13:00,0.0,0j
158,03.10.2018,14:00,0.0,0j
159,03.10.2018,15:00,0.0,0j
160,03.10.2018,16:00,0.0,0j
161,03.10.2018,17:00,0.04,(0.7889523165162555+0j)
162,03.10.2018,18:00,0.0,0j
163,03.10.2018,19:00,0.0,0j
164,03.10.2018,20:00,0.0,0j
165,03.10.2018,21:00,0.0,0j
166,03.10.2018,22:00,0.0,0j
167,03.10.2018,23:00,0.0,0j
168,04.10.2018,00:00,0.32,(1.577904633032511+0j)
169,04.10.2018,01:00,0.47,(1.7936183753308608+0j)
170,04.10.2018,02:00,2.63,(3.1843148932192475+0j)
171,04.10.2018,03:00,9.85,(4.945112415828717+0j)
172,04.10.2018,04:00,13.76,(5.528028030841325+0j)
173,04.10.2018,05:00,13.69,(5.518638011255585+0j)
174,04.10.2018,06:00,13.55,(5.499761506047753+0j)
175,04.10.2018,07:00,13.55,(5.499761506047753+0j)
176,04.10.2018,08:00,13.8,(5.533379464997012+0j)
177,04.10.2018,09:00,13.08,(5.43542290160659+0j)
178,04.10.2018,10:00,14.84,(5.6690296124228015+0j)
179,04.10.2018,11:00,15.24,(5.719513387966619+0j)
180,04.10.2018,12:00,12.8,(5.396357937270628+0j)
181,04.10.2018,13:00,12.72,(5.385092021543141+0j)
182,04.10.2018,14:00,11.1,(5.146023338360799+0j)
183,04.10.2018,15:00,11.8,(5.252000527140944+0j)
184,04.10.2018,16:00,16.03,(5.816681258063167+0j)
185,04.10.2018,17:00,14.42,(5.615035573466577+0j)
186,04.10.2018,18:00,14.0,(5.559982659844667+0j)
187,04.10.2018,19:00,14.1,(5.573189319104199+0j)
188,04.10.2018,20:00,14.43,(5.61633324755333+0j)
189,04.10.2018,21:00,14.62,(5.6408759539064+0j)
190,04.10.2018,22:00,14.79,(5.662655613780048+0j)
191,04.10.2018,23:00,14.21,(5.587644720449765+0j)
192,05.10.2018,00:00,16.3,(5.849157198644684+0j)
193,05.10.2018,01:00,17.39,(5.976734343791207+0j)
194,05.10.2018,02:00,17.21,(5.956041502975816+0j)
195,05.10.2018,03:00,17.25,(5.960652336249813+0j)
196,05.10.2018,04:00,17.1,(5.943324760767637+0j)
197,05.10.2018,05:00,17.15,(5.9491118381927235+0j)
198,05.10.2018,06:00,17.15,(5.9491118381927235+0j)
199,05.10.2018,07:00,17.0,(5.931716675044451+0j)
200,05.10.2018,08:00,15.65,(5.770350661988524+0j)
201,05.10.2018,09:00,12.63,(5.372361260054736+0j)
202,05.10.2018,10:00,5.73,(4.12808818210491+0j)
203,05.10.2018,11:00,2.64,(3.188345675868077+0j)
204,05.10.2018,12:00,2.2,(3.0003481535188943+0j)
205,05.10.2018,13:00,1.9,(2.857252527471502+0j)
206,05.10.2018,14:00,1.7,(2.7532589883041045+0j)
207,05.10.2018,15:00,3.7,(3.568053299723952+0j)
208,05.10.2018,16:00,5.41,(4.049765226228407+0j)
209,05.10.2018,17:00,7.11,(4.435956637290909+0j)
210,05.10.2018,18:00,7.58,(4.531623571271442+0j)
211,05.10.2018,19:00,8.8,(4.762755815166737+0j)
212,05.10.2018,20:00,13.16,(5.446481778283234+0j)
213,05.10.2018,21:00,9.93,(4.958464117256439+0j)
214,05.10.2018,22:00,9.57,(4.8978040330361035+0j)
215,05.10.2018,23:00,16.19,(5.835969875942564+0j)
216,06.10.2018,00:00,15.4,(5.739459542039852+0j)
217,06.10.2018,01:00,14.15,(5.579769241766602+0j)
218,06.10.2018,02:00,14.74,(5.656267233340929+0j)
219,06.10.2018,03:00,13.76,(5.528028030841325+0j)
220,06.10.2018,04:00,11.3,(5.176746593635786+0j)
221,06.10.2018,05:00,8.2,(4.651953618643192+0j)
222,06.10.2018,06:00,5.83,(4.151964295348313+0j)
223,06.10.2018,07:00,2.49,(3.1267791519670807+0j)
224,06.10.2018,08:00,1.28,(2.5047674743813038+0j)
225,06.10.2018,09:00,0.71,(2.058022924722261+0j)
226,06.10.2018,10:00,0.49,(1.8187071963850634+0j)
227,06.10.2018,11:00,0.0,0j
228,06.10.2018,12:00,0.0,0j
229,06.10.2018,13:00,0.0,0j
230,06.10.2018,14:00,0.0,0j
231,06.10.2018,15:00,0.0,0j
232,06.10.2018,16:00,0.0,0j
233,06.10.2018,17:00,0.0,0j
234,06.10.2018,18:00,4.47,(3.800142942712172+0j)
235,06.10.2018,19:00,6.25,(4.249365598709089+0j)
236,06.10.2018,20:00,6.64,(4.335975154841784+0j)
237,06.10.2018,21:00,9.59,(4.9012135740140526+0j)
238,06.10.2018,22:00,5.03,(3.952635379087465+0j)
239,06.10.2018,23:00,4.47,(3.800142942712172+0j)
240,07.10.2018,00:00,3.42,(3.4756774048888617+0j)
241,07.10.2018,01:00,0.0,0j
242,07.10.2018,02:00,0.0,0j
243,07.10.2018,03:00,0.0,0j
244,07.10.2018,04:00,0.0,0j
245,07.10.2018,05:00,0.0,0j
246,07.10.2018,06:00,0.0,0j
247,07.10.2018,07:00,0.0,0j
248,07.10.2018,08:00,0.0,0j
249,07.10.2018,09:00,0.0,0j
250,07.10.2018,10:00,0.0,0j
251,07.10.2018,11:00,0.0,0j
252,07.10.2018,12:00,0.0,0j
253,07.10.2018,13:00,0.42,(1.7276158853209145+0j)
254,07.10.2018,14:00,0.2,(1.349089484317657+0j)
255,07.10.2018,15:00,0.0,0j
256,07.10.2018,16:00,0.0,0j
257,07.10.2018,17:00,0.0,0j
258,07.10.2018,18:00,0.0,0j
259,07.10.2018,19:00,0.0,0j
260,07.10.2018,20:00,0.0,0j
261,07.10.2018,21:00,0.14,(1.1978619518345093+0j)
262,07.10.2018,22:00,0.0,0j
263,07.10.2018,23:00,0.17,(1.2779496176156349+0j)
264,08.10.2018,00:00,1.07,(2.3595291721571443+0j)
265,08.10.2018,01:00,0.55,(1.8901008978158347+0j)
266,08.10.2018,02:00,0.1,(1.0707730333025423+0j)
267,08.10.2018,03:00,0.0,0j
268,08.10.2018,04:00,0.0,0j
269,08.10.2018,05:00,0.0,0j
270,08.10.2018,06:00,0.0,0j
271,08.10.2018,07:00,0.0,0j
272,08.10.2018,08:00,0.0,0j
273,08.10.2018,09:00,0.0,0j
274,08.10.2018,10:00,0.0,0j
275,08.10.2018,11:00,0.0,0j
276,08.10.2018,12:00,0.0,0j
277,08.10.2018,13:00,0.0,0j
278,08.10.2018,14:00,0.0,0j
279,08.10.2018,15:00,0.0,0j
280,08.10.2018,16:00,0.0,0j
281,08.10.2018,17:00,0.14,(1.1978619518345093+0j)
282,08.10.2018,18:00,0.98,(2.2914274803208303+0j)
283,08.10.2018,19:00,2.33,(3.058318643906882+0j)
284,08.10.2018,20:00,2.38,(3.0800403849020155+0j)
285,08.10.2018,21:00,2.74,(3.2281047052519822+0j)
286,08.10.2018,22:00,1.49,(2.634871953473483+0j)
287,08.10.2018,23:00,0.33,(1.5941728379340387+0j)
288,09.10.2018,00:00,2.0,(2.9065251849711853+0j)
289,09.10.2018,01:00,2.88,(3.2821739014895774+0j)
290,09.10.2018,02:00,2.91,(3.2935309951055802+0j)
291,09.10.2018,03:00,2.85,(3.2707376627681333+0j)
292,09.10.2018,04:00,2.57,(3.1599130538692353+0j)
293,09.10.2018,05:00,1.25,(2.4850440773553824+0j)
294,09.10.2018,06:00,0.62,(1.9671070206901704+0j)
295,09.10.2018,07:00,0.17,(1.2779496176156349+0j)
296,09.10.2018,08:00,0.0,0j
297,09.10.2018,09:00,0.0,0j
298,09.10.2018,10:00,0.05,(0.8498731197418178+0j)
299,09.10.2018,11:00,0.54,(1.878575605785978+0j)
300,09.10.2018,12:00,1.41,(2.5868453311164057+0j)
301,09.10.2018,13:00,1.63,(2.714938273927497+0j)
302,09.10.2018,14:00,3.0,(3.3271407755764733+0j)
303,09.10.2018,15:00,5.76,(4.1352799879023+0j)
304,09.10.2018,16:00,6.67,(4.342495428054647+0j)
305,09.10.2018,17:00,2.38,(3.0800403849020155+0j)
306,09.10.2018,18:00,2.2,(3.0003481535188943+0j)
307,09.10.2018,19:00,2.65,(3.1923662925816094+0j)
308,09.10.2018,20:00,1.0,(2.3069105680976625+0j)
309,09.10.2018,21:00,0.43,(1.7412197201164727+0j)
310,09.10.2018,22:00,0.07,(0.9507436612273904+0j)
311,09.10.2018,23:00,0.35,(1.6257487921541758+0j)
312,10.10.2018,00:00,0.77,(2.1144349738046944+0j)
313,10.10.2018,01:00,0.49,(1.8187071963850634+0j)
314,10.10.2018,02:00,2.61,(3.176222571438551+0j)
315,10.10.2018,03:00,3.45,(3.4858106325028833+0j)
316,10.10.2018,04:00,2.83,(3.2630688476120198+0j)
317,10.10.2018,05:00,3.13,(3.3745215382725595+0j)
318,10.10.2018,06:00,2.31,(3.0495429324127765+0j)
319,10.10.2018,07:00,1.39,(2.574556094322664+0j)
320,10.10.2018,08:00,1.17,(2.4308568197480382+0j)
321,10.10.2018,09:00,1.0,(2.3069105680976625+0j)
322,10.10.2018,10:00,1.37,(2.5621484024902457+0j)
323,10.10.2018,11:00,0.82,(2.15924559707788+0j)
324,10.10.2018,12:00,0.68,(2.028618567365417+0j)
325,10.10.2018,13:00,0.11,(1.1053377104451128+0j)
326,10.10.2018,14:00,0.2,(1.349089484317657+0j)
327,10.10.2018,15:00,0.4,(1.6997462394836356+0j)
328,10.10.2018,16:00,0.24,(1.433621501104308+0j)
329,10.10.2018,17:00,0.57,(1.9127389885949826+0j)
330,10.10.2018,18:00,4.48,(3.8029746449095616+0j)
331,10.10.2018,19:00,4.42,(3.7859207178090206+0j)
332,10.10.2018,20:00,3.16,(3.385268494703925+0j)
333,10.10.2018,21:00,2.25,(3.0229080092757528+0j)
334,10.10.2018,22:00,2.55,(3.151694777349686+0j)
335,10.10.2018,23:00,1.49,(2.634871953473483+0j)
336,11.10.2018,00:00,0.0,0j
337,11.10.2018,01:00,0.0,0j
338,11.10.2018,02:00,0.0,0j
339,11.10.2018,03:00,0.0,0j
340,11.10.2018,04:00,0.0,0j
341,11.10.2018,05:00,0.0,0j
342,11.10.2018,06:00,0.0,0j
343,11.10.2018,07:00,2.37,(3.075720546996181+0j)
344,11.10.2018,08:00,2.61,(3.176222571438551+0j)
345,11.10.2018,09:00,1.3,(2.5177457758802415+0j)
346,11.10.2018,10:00,0.95,(2.2678028339235294+0j)
347,11.10.2018,11:00,0.6,(1.945723729063384+0j)
348,11.10.2018,12:00,0.63,(1.9776265095882346+0j)
349,11.10.2018,13:00,0.26,(1.4723866617968684+0j)
350,11.10.2018,14:00,0.08,(0.9940176309421529+0j)
351,11.10.2018,15:00,0.2,(1.349089484317657+0j)
352,11.10.2018,16:00,0.07,(0.9507436612273904+0j)
353,11.10.2018,17:00,0.31,(1.5612938769888036+0j)
354,11.10.2018,18:00,1.61,(2.7037885044677585+0j)
