,Tarih,Saat,Toplam (MWh),AYDIN WindSpeed(m/s)
105,05.02.2018,09:00,9.4,(6.353604395697744+0j)
106,05.02.2018,10:00,3.7,(4.656341171279177+0j)
107,05.02.2018,11:00,2.5,(4.0859296848035305+0j)
108,05.02.2018,12:00,1.15,(3.1541099789446547+0j)
109,05.02.2018,13:00,0.9,(2.9066431876989745+0j)
110,05.02.2018,14:00,0.95,(2.959502792393457+0j)
111,05.02.2018,15:00,1.55,(3.48407999866735+0j)
112,05.02.2018,16:00,1.6,(3.521147461588707+0j)
113,05.02.2018,17:00,2.0,(3.79304111998221+0j)
114,05.02.2018,18:00,0.9,(2.9066431876989745+0j)
115,05.02.2018,19:00,0.85,(2.851787717650257+0j)
116,05.02.2018,20:00,1.3,(3.2856805462946452+0j)
117,05.02.2018,21:00,1.0,(3.010538732009199+0j)
118,05.02.2018,22:00,1.8,(3.6621409367154727+0j)
119,05.02.2018,23:00,2.0,(3.79304111998221+0j)
120,06.02.2018,00:00,2.4,(4.030707649411104+0j)
121,06.02.2018,01:00,5.2,(5.2156927556195685+0j)
122,06.02.2018,02:00,11.5,(6.795323954814099+0j)
123,06.02.2018,03:00,14.5,(7.341197134139915+0j)
124,06.02.2018,04:00,9.7,(6.420489357132383+0j)
125,06.02.2018,05:00,17.2,(7.771181184471484+0j)
126,06.02.2018,06:00,14.0,(7.255826635951876+0j)
127,06.02.2018,07:00,12.3,(6.949377803820959+0j)
128,06.02.2018,08:00,7.2,(5.813286375397948+0j)
129,06.02.2018,09:00,6.7,(5.675478548913056+0j)
130,06.02.2018,10:00,3.3,(4.48210678159787+0j)
131,06.02.2018,11:00,1.3,(3.2856805462946452+0j)
132,06.02.2018,12:00,1.15,(3.1541099789446547+0j)
133,06.02.2018,13:00,1.0,(3.010538732009199+0j)
134,06.02.2018,14:00,0.35,(2.1216165788920676+0j)
135,06.02.2018,15:00,0.47,(2.340687872365051+0j)
136,06.02.2018,16:00,0.3,(2.015353824705552+0j)
137,06.02.2018,17:00,0.11,(1.442475506100549+0j)
138,06.02.2018,18:00,0.0,0j
139,06.02.2018,19:00,0.0,0j
140,06.02.2018,20:00,0.12,(1.4849253942241258+0j)
141,06.02.2018,21:00,1.35,(3.3272758549796335+0j)
142,06.02.2018,22:00,6.75,(5.689561679973314+0j)
143,06.02.2018,23:00,16.6,(7.679747036031873+0j)
144,07.02.2018,00:00,20.7,(8.266106583707607+0j)
145,07.02.2018,01:00,23.0,(8.561571691525161+0j)
146,07.02.2018,02:00,25.7,(8.884273643980475+0j)
147,07.02.2018,03:00,20.6,(8.252774130592655+0j)
148,07.02.2018,04:00,22.5,(8.499076239487389+0j)
149,07.02.2018,05:00,20.0,(8.171859369607061+0j)
150,07.02.2018,06:00,35.4,(9.8850447485433+0j)
151,07.02.2018,07:00,34.8,(9.828878509284104+0j)
152,07.02.2018,08:00,32.8,(9.636858900002629+0j)
153,07.02.2018,09:00,33.1,(9.666150444576957+0j)
154,07.02.2018,10:00,43.1,(10.555285283155564+0j)
155,07.02.2018,11:00,43.7,(10.604040179551125+0j)
156,07.02.2018,12:00,43.1,(10.555285283155564+0j)
157,07.02.2018,13:00,39.1,(10.21809191031618+0j)
158,07.02.2018,14:00,37.7,(10.094651626209705+0j)
159,07.02.2018,15:00,43.3,(10.57158690795+0j)
160,07.02.2018,16:00,45.0,(10.708165058791522+0j)
161,07.02.2018,17:00,45.0,(10.708165058791522+0j)
162,07.02.2018,18:00,44.6,(10.676342686729873+0j)
163,07.02.2018,19:00,44.0,(10.62825040098331+0j)
164,07.02.2018,20:00,31.1,(9.467406295069976+0j)
165,07.02.2018,21:00,28.0,(9.141768713023673+0j)
166,07.02.2018,22:00,45.0,(10.708165058791522+0j)
167,07.02.2018,23:00,44.0,(10.62825040098331+0j)
168,08.02.2018,00:00,44.0,(10.62825040098331+0j)
169,08.02.2018,01:00,45.0,(10.708165058791522+0j)
170,08.02.2018,02:00,44.0,(10.62825040098331+0j)
171,08.02.2018,03:00,45.0,(10.708165058791522+0j)
172,08.02.2018,04:00,45.0,(10.708165058791522+0j)
173,08.02.2018,05:00,44.4,(10.660360113901474+0j)
174,08.02.2018,06:00,45.0,(10.708165058791522+0j)
175,08.02.2018,07:00,45.0,(10.708165058791522+0j)
176,08.02.2018,08:00,44.6,(10.676342686729873+0j)
177,08.02.2018,09:00,44.4,(10.660360113901474+0j)
178,08.02.2018,10:00,44.5,(10.668357386303605+0j)
179,08.02.2018,11:00,44.7,(10.68431605988526+0j)
180,08.02.2018,12:00,44.8,(10.69227755020825+0j)
181,08.02.2018,13:00,44.6,(10.676342686729873+0j)
182,08.02.2018,14:00,39.0,(10.209373397626953+0j)
183,08.02.2018,15:00,29.7,(9.323157809592962+0j)
184,08.02.2018,16:00,25.6,(8.872735613279021+0j)
185,08.02.2018,17:00,25.0,(8.802868653971766+0j)
186,08.02.2018,18:00,10.3,(6.550231168279362+0j)
187,08.02.2018,19:00,6.5,(5.618434702627392+0j)
188,08.02.2018,20:00,8.6,(6.167990593632756+0j)
189,08.02.2018,21:00,10.5,(6.5923559991040515+0j)
190,08.02.2018,22:00,1.1,(3.1077192698643206+0j)
191,08.02.2018,23:00,0.5,(2.3894661750912056+0j)
192,09.02.2018,00:00,0.0,0j
193,09.02.2018,01:00,0.0,0j
194,09.02.2018,02:00,0.0,0j
195,09.02.2018,03:00,0.0,0j
196,09.02.2018,04:00,0.0,0j
197,09.02.2018,05:00,0.0,0j
198,09.02.2018,06:00,0.3,(2.015353824705552+0j)
199,09.02.2018,07:00,0.0,0j
200,09.02.2018,08:00,0.0,0j
201,09.02.2018,09:00,0.0,0j
202,09.02.2018,10:00,0.0,0j
203,09.02.2018,11:00,0.0,0j
204,09.02.2018,12:00,0.0,0j
205,09.02.2018,13:00,0.0,0j
206,09.02.2018,14:00,0.0,0j
207,09.02.2018,15:00,0.0,0j
208,09.02.2018,16:00,0.0,0j
209,09.02.2018,17:00,0.0,0j
210,09.02.2018,18:00,0.0,0j
211,09.02.2018,19:00,0.0,0j
212,09.02.2018,20:00,0.0,0j
213,09.02.2018,21:00,0.0,0j
214,09.02.2018,22:00,0.0,0j
215,09.02.2018,23:00,0.15,(1.5995873907128637+0j)
216,10.02.2018,00:00,0.35,(2.1216165788920676+0j)
217,10.02.2018,01:00,2.6,(4.13969808350671+0j)
218,10.02.2018,02:00,1.0,(3.010538732009199+0j)
219,10.02.2018,03:00,1.0,(3.010538732009199+0j)
220,10.02.2018,04:00,4.7,(5.042859150760187+0j)
221,10.02.2018,05:00,9.7,(6.420489357132383+0j)
222,10.02.2018,06:00,2.4,(4.030707649411104+0j)
223,10.02.2018,07:00,6.3,(5.5602083909423055+0j)
224,10.02.2018,08:00,10.5,(6.5923559991040515+0j)
225,10.02.2018,09:00,17.1,(7.756091474302353+0j)
226,10.02.2018,10:00,21.5,(8.371251163174215+0j)
227,10.02.2018,11:00,19.3,(8.075386583791563+0j)
228,10.02.2018,12:00,41.5,(10.423020322798717+0j)
229,10.02.2018,13:00,29.8,(9.333609788984068+0j)
230,10.02.2018,14:00,30.7,(9.426641930972304+0j)
231,10.02.2018,15:00,25.6,(8.872735613279021+0j)
232,10.02.2018,16:00,31.1,(9.467406295069976+0j)
233,10.02.2018,17:00,44.5,(10.668357386303605+0j)
234,10.02.2018,18:00,40.0,(10.295897636548585+0j)
235,10.02.2018,19:00,43.7,(10.604040179551125+0j)
236,10.02.2018,20:00,45.0,(10.708165058791522+0j)
237,10.02.2018,21:00,38.0,(10.12135717823066+0j)
238,10.02.2018,22:00,32.9,(9.64664251981825+0j)
239,10.02.2018,23:00,41.6,(10.431385511239135+0j)
240,11.02.2018,00:00,43.1,(10.555285283155564+0j)
241,11.02.2018,01:00,45.0,(10.708165058791522+0j)
242,11.02.2018,02:00,43.9,(10.620192588644253+0j)
243,11.02.2018,03:00,40.8,(10.364084376256098+0j)
244,11.02.2018,04:00,38.0,(10.12135717823066+0j)
245,11.02.2018,05:00,36.8,(10.013674997200281+0j)
246,11.02.2018,06:00,40.5,(10.338619692868134+0j)
247,11.02.2018,07:00,37.6,(10.085718301520375+0j)
248,11.02.2018,08:00,36.2,(9.958954369367463+0j)
249,11.02.2018,09:00,35.0,(9.847671821793165+0j)
250,11.02.2018,10:00,41.0,(10.380991558554083+0j)
251,11.02.2018,11:00,44.7,(10.68431605988526+0j)
252,11.02.2018,12:00,42.0,(10.464712847926641+0j)
253,11.02.2018,13:00,43.3,(10.57158690795+0j)
254,11.02.2018,14:00,41.5,(10.423020322798717+0j)
255,11.02.2018,15:00,33.0,(9.65640633470161+0j)
256,11.02.2018,16:00,35.0,(9.847671821793165+0j)
