,Tarih,Saat,Toplam (MWh),AFYON WindSpeed(m/s)
104,05.02.2018,08:00,60.5,(6.901740041302994+0j)
105,05.02.2018,09:00,44.0,(6.2066563190646376+0j)
106,05.02.2018,10:00,24.0,(5.071197830335329+0j)
107,05.02.2018,11:00,14.0,(4.237237601769498+0j)
108,05.02.2018,12:00,10.0,(3.7876816712658563+0j)
109,05.02.2018,13:00,10.0,(3.7876816712658563+0j)
110,05.02.2018,14:00,9.0,(3.6569664458724946+0j)
111,05.02.2018,15:00,8.0,(3.516172190125477+0j)
112,05.02.2018,16:00,4.5,(2.902536191595203+0j)
113,05.02.2018,17:00,0.0,0j
114,05.02.2018,18:00,0.0,0j
115,05.02.2018,19:00,0.0,0j
116,05.02.2018,20:00,0.0,0j
117,05.02.2018,21:00,0.0,0j
118,05.02.2018,22:00,0.7,(1.5610116792142281+0j)
119,05.02.2018,23:00,5.67,(3.134977960587306+0j)
120,06.02.2018,00:00,8.84,(3.6351658298009304+0j)
121,06.02.2018,01:00,21.74,(4.906743083506814+0j)
122,06.02.2018,02:00,12.83,(4.11575035681269+0j)
123,06.02.2018,03:00,13.32,(4.167493015661469+0j)
124,06.02.2018,04:00,11.55,(3.9740573832160746+0j)
125,06.02.2018,05:00,6.4,(3.2641251149492407+0j)
126,06.02.2018,06:00,7.45,(3.4336727085345773+0j)
127,06.02.2018,07:00,10.05,(3.7939839818421985+0j)
128,06.02.2018,08:00,15.65,(4.3975581033658075+0j)
129,06.02.2018,09:00,11.5,(3.9683145177249632+0j)
130,06.02.2018,10:00,5.6,(3.122023358428456+0j)
131,06.02.2018,11:00,0.2,(1.0281349854537678+0j)
132,06.02.2018,12:00,0.0,0j
133,06.02.2018,13:00,4.0,(2.7907877167532553+0j)
134,06.02.2018,14:00,2.0,(2.2150496786970235+0j)
135,06.02.2018,15:00,3.2,(2.5907378206131226+0j)
136,06.02.2018,16:00,2.0,(2.2150496786970235+0j)
137,06.02.2018,17:00,0.0,0j
138,06.02.2018,18:00,0.0,0j
139,06.02.2018,19:00,0.0,0j
140,06.02.2018,20:00,0.0,0j
141,06.02.2018,21:00,7.0,(3.3630977132440556+0j)
142,06.02.2018,22:00,8.3,(3.5595861079698086+0j)
143,06.02.2018,23:00,34.25,(5.709441984777416+0j)
144,07.02.2018,00:00,38.4,(5.931308963954841+0j)
145,07.02.2018,01:00,35.6,(5.783491989263906+0j)
146,07.02.2018,02:00,32.05,(5.584480991258511+0j)
147,07.02.2018,03:00,17.5,(4.564425839579855+0j)
148,07.02.2018,04:00,10.32,(3.8276601567928337+0j)
149,07.02.2018,05:00,6.08,(3.2087902705595805+0j)
150,07.02.2018,06:00,9.1,(3.670460909273642+0j)
151,07.02.2018,07:00,10.4,(3.837525303920328+0j)
152,07.02.2018,08:00,10.0,(3.7876816712658563+0j)
153,07.02.2018,09:00,30.8,(5.510914983138492+0j)
154,07.02.2018,10:00,33.0,(5.6391215050020405+0j)
155,07.02.2018,11:00,37.0,(5.858332903042962+0j)
156,07.02.2018,12:00,25.0,(5.140674927268839+0j)
157,07.02.2018,13:00,36.0,(5.805072383190406+0j)
158,07.02.2018,14:00,44.0,(6.2066563190646376+0j)
159,07.02.2018,15:00,57.0,(6.7659963257309705+0j)
160,07.02.2018,16:00,49.6,(6.459526702702345+0j)
161,07.02.2018,17:00,61.0,(6.92070096086557+0j)
162,07.02.2018,18:00,117.9,(8.620743845026036+0j)
163,07.02.2018,19:00,106.2,(8.325589195812288+0j)
164,07.02.2018,20:00,70.0,(7.245574379379894+0j)
165,07.02.2018,21:00,118.5,(8.63534293107732+0j)
166,07.02.2018,22:00,116.9,(8.59630157082376+0j)
167,07.02.2018,23:00,128.9,(8.880916324233336+0j)
168,08.02.2018,00:00,121.9,(8.717153782290731+0j)
169,08.02.2018,01:00,106.95,(8.345142083960658+0j)
170,08.02.2018,02:00,108.9,(8.395555410428383+0j)
171,08.02.2018,03:00,144.05,(9.216044432789236+0j)
172,08.02.2018,04:00,148.8,(9.316249611361687+0j)
173,08.02.2018,05:00,147.55,(9.290089051287136+0j)
174,08.02.2018,06:00,126.55,(8.826615101085858+0j)
175,08.02.2018,07:00,121.8,(8.71476944032762+0j)
176,08.02.2018,08:00,159.5,(9.534407320155836+0j)
177,08.02.2018,09:00,161.0,(9.564202536709079+0j)
178,08.02.2018,10:00,158.0,(9.5044247092246+0j)
179,08.02.2018,11:00,167.0,(9.681566423794303+0j)
180,08.02.2018,12:00,164.0,(9.623242319156931+0j)
181,08.02.2018,13:00,161.0,(9.564202536709079+0j)
182,08.02.2018,14:00,158.0,(9.5044247092246+0j)
183,08.02.2018,15:00,161.0,(9.564202536709079+0j)
184,08.02.2018,16:00,150.3,(9.347449608527688+0j)
185,08.02.2018,17:00,141.4,(9.159180312851555+0j)
186,08.02.2018,18:00,114.2,(8.529603440433654+0j)
187,08.02.2018,19:00,106.1,(8.322975195892964+0j)
188,08.02.2018,20:00,127.2,(8.841701377656287+0j)
189,08.02.2018,21:00,120.6,(8.686055000067933+0j)
190,08.02.2018,22:00,72.1,(7.317317405366286+0j)
191,08.02.2018,23:00,83.1,(7.671974434922834+0j)
192,09.02.2018,00:00,69.2,(7.21786636731885+0j)
193,09.02.2018,01:00,52.45,(6.580950687685941+0j)
194,09.02.2018,02:00,22.35,(4.9522129884602695+0j)
195,09.02.2018,03:00,21.65,(4.899962683689904+0j)
196,09.02.2018,04:00,12.35,(4.063770046880163+0j)
197,09.02.2018,05:00,11.27,(3.9416807318930833+0j)
198,09.02.2018,06:00,8.99,(3.6556115119041324+0j)
199,09.02.2018,07:00,5.09,(3.024215487539348+0j)
200,09.02.2018,08:00,0.76,(1.6043951352797903+0j)
201,09.02.2018,09:00,0.0,0j
202,09.02.2018,10:00,0.0,0j
203,09.02.2018,11:00,0.0,0j
204,09.02.2018,12:00,0.0,0j
205,09.02.2018,13:00,0.7,(1.5610116792142281+0j)
206,09.02.2018,14:00,4.49,(2.9003845702050572+0j)
207,09.02.2018,15:00,8.8,(3.6296746343871953+0j)
208,09.02.2018,16:00,14.2,(4.257319596569569+0j)
209,09.02.2018,17:00,37.4,(5.879368390179146+0j)
210,09.02.2018,18:00,13.8,(4.2169634274721925+0j)
211,09.02.2018,19:00,5.5,(3.103328159532319+0j)
212,09.02.2018,20:00,0.4,(1.2953689103065613+0j)
213,09.02.2018,21:00,0.5,(1.3953938583766277+0j)
214,09.02.2018,22:00,0.0,0j
215,09.02.2018,23:00,0.0,0j
216,10.02.2018,00:00,5.1,(3.026194686721797+0j)
217,10.02.2018,01:00,10.0,(3.7876816712658563+0j)
218,10.02.2018,02:00,29.0,(5.40139749086558+0j)
219,10.02.2018,03:00,32.0,(5.581575433506511+0j)
220,10.02.2018,04:00,30.0,(5.462782262844428+0j)
221,10.02.2018,05:00,28.0,(5.33858484787546+0j)
222,10.02.2018,06:00,26.0,(5.208323144545029+0j)
223,10.02.2018,07:00,47.0,(6.344626950991608+0j)
224,10.02.2018,08:00,45.3,(6.267190170519697+0j)
225,10.02.2018,09:00,9.7,(3.749419644483171+0j)
226,10.02.2018,10:00,13.4,(4.175819697171497+0j)
227,10.02.2018,11:00,36.2,(5.815802670794453+0j)
228,10.02.2018,12:00,20.5,(4.811621159578466+0j)
229,10.02.2018,13:00,20.4,(4.803784629162756+0j)
230,10.02.2018,14:00,69.0,(7.210906028992771+0j)
231,10.02.2018,15:00,108.8,(8.39298481767418+0j)
232,10.02.2018,16:00,131.3,(8.935695913397385+0j)
233,10.02.2018,17:00,122.9,(8.740925794675627+0j)
234,10.02.2018,18:00,163.5,(9.613452645747106+0j)
235,10.02.2018,19:00,178.0,(9.889632189438641+0j)
236,10.02.2018,20:00,177.0,(9.871077488839845+0j)
237,10.02.2018,21:00,176.0,(9.852452770088279+0j)
238,10.02.2018,22:00,182.0,(9.963163753155333+0j)
239,10.02.2018,23:00,174.0,(9.814990610723694+0j)
240,11.02.2018,00:00,145.0,(9.236259787820005+0j)
241,11.02.2018,01:00,149.0,(9.320421689667404+0j)
242,11.02.2018,02:00,173.0,(9.796151810839085+0j)
243,11.02.2018,03:00,184.0,(9.999525986970205+0j)
244,11.02.2018,04:00,170.0,(9.739196152599513+0j)
245,11.02.2018,05:00,171.0,(9.758255293486995+0j)
246,11.02.2018,06:00,177.0,(9.871077488839845+0j)
247,11.02.2018,07:00,173.0,(9.796151810839085+0j)
248,11.02.2018,08:00,180.5,(9.93571688199725+0j)
249,11.02.2018,09:00,162.2,(9.587905737826903+0j)
250,11.02.2018,10:00,121.9,(8.717153782290731+0j)
251,11.02.2018,11:00,149.7,(9.334994630939907+0j)
252,11.02.2018,12:00,159.4,(9.532414341979015+0j)
253,11.02.2018,13:00,181.4,(9.952203168121063+0j)
254,11.02.2018,14:00,189.8,(10.103508435938922+0j)
255,11.02.2018,15:00,192.4,(10.14943410544222+0j)
256,11.02.2018,16:00,174.2,(9.81874970362693+0j)
257,11.02.2018,17:00,184.0,(9.999525986970205+0j)
258,11.02.2018,18:00,161.5,(9.574093135832078+0j)
259,11.02.2018,19:00,137.75,(9.079682763317853+0j)
260,11.02.2018,20:00,152.75,(9.397966198912039+0j)
261,11.02.2018,21:00,147.0,(9.278531588601085+0j)
262,11.02.2018,22:00,143.0,(9.193597471592376+0j)
263,11.02.2018,23:00,127.5,(8.84864694326006+0j)
264,12.02.2018,00:00,135.0,(9.018854804232133+0j)
265,12.02.2018,01:00,134.0,(8.996530814904709+0j)
266,12.02.2018,02:00,128.0,(8.860198714788094+0j)
267,12.02.2018,03:00,124.0,(8.766926538340227+0j)
268,12.02.2018,04:00,122.0,(8.719536820622206+0j)
269,12.02.2018,05:00,115.0,(8.549474457943806+0j)
270,12.02.2018,06:00,84.0,(7.699571702898023+0j)
271,12.02.2018,07:00,48.0,(6.38930889462069+0j)
272,12.02.2018,08:00,38.0,(5.910642214636152+0j)
273,12.02.2018,09:00,9.2,(3.6838568707471335+0j)
274,12.02.2018,10:00,9.4,(3.710360349408575+0j)
275,12.02.2018,11:00,6.6,(3.2977782617127196+0j)
276,12.02.2018,12:00,14.4,(4.277213902312174+0j)
277,12.02.2018,13:00,25.5,(5.174720124255095+0j)
278,12.02.2018,14:00,42.6,(6.14011735881377+0j)
279,12.02.2018,15:00,45.7,(6.285582616894514+0j)
280,12.02.2018,16:00,35.1,(5.756287955880492+0j)
281,12.02.2018,17:00,24.85,(5.1303729458968785+0j)
282,12.02.2018,18:00,17.9,(4.598940767203958+0j)
283,12.02.2018,19:00,43.35,(6.175941491226596+0j)
284,12.02.2018,20:00,46.45,(6.319781236727849+0j)
285,12.02.2018,21:00,34.55,(5.726063452600074+0j)
286,12.02.2018,22:00,29.25,(5.416874359097471+0j)
287,12.02.2018,23:00,29.15,(5.4106942346680444+0j)
288,13.02.2018,00:00,48.0,(6.38930889462069+0j)
289,13.02.2018,01:00,40.0,(6.012569869488088+0j)
290,13.02.2018,02:00,34.0,(5.695516461227095+0j)
291,13.02.2018,03:00,26.0,(5.208323144545029+0j)
292,13.02.2018,04:00,19.0,(4.691279834660538+0j)
293,13.02.2018,05:00,14.0,(4.237237601769498+0j)
294,13.02.2018,06:00,22.0,(4.9262263850441395+0j)
295,13.02.2018,07:00,19.0,(4.691279834660538+0j)
296,13.02.2018,08:00,20.8,(4.834978909913441+0j)
297,13.02.2018,09:00,4.3,(2.858882399143191+0j)
298,13.02.2018,10:00,14.2,(4.257319596569569+0j)
299,13.02.2018,11:00,42.0,(6.111154110442452+0j)
300,13.02.2018,12:00,31.1,(5.528749783784914+0j)
301,13.02.2018,13:00,30.1,(5.46884528920015+0j)
302,13.02.2018,14:00,31.2,(5.534669220622899+0j)
303,13.02.2018,15:00,40.2,(6.022574163926804+0j)
304,13.02.2018,16:00,31.15,(5.531711085788621+0j)
305,13.02.2018,17:00,14.67,(4.3037811294761585+0j)
306,13.02.2018,18:00,11.99,(4.023894015594851+0j)
307,13.02.2018,19:00,9.42,(3.712989946567608+0j)
308,13.02.2018,20:00,6.01,(3.1964282702441236+0j)
309,13.02.2018,21:00,1.11,(1.820320242703413+0j)
310,13.02.2018,22:00,0.58,(1.4661648503437057+0j)
311,13.02.2018,23:00,0.87,(1.6783397861195142+0j)
312,14.02.2018,00:00,1.3,(1.918762651960164+0j)
313,14.02.2018,01:00,10.0,(3.7876816712658563+0j)
314,14.02.2018,02:00,41.0,(6.062262783072487+0j)
315,14.02.2018,03:00,53.0,(6.603873753578318+0j)
316,14.02.2018,04:00,55.0,(6.6859178414492275+0j)
317,14.02.2018,05:00,47.0,(6.344626950991608+0j)
318,14.02.2018,06:00,84.0,(7.699571702898023+0j)
319,14.02.2018,07:00,122.0,(8.719536820622206+0j)
320,14.02.2018,08:00,145.5,(9.246863998956254+0j)
321,14.02.2018,09:00,167.0,(9.681566423794303+0j)
322,14.02.2018,10:00,157.5,(9.494388350430162+0j)
323,14.02.2018,11:00,178.3,(9.895185044164867+0j)
324,14.02.2018,12:00,147.9,(9.297428853816488+0j)
325,14.02.2018,13:00,112.0,(8.474475203538995+0j)
326,14.02.2018,14:00,156.7,(9.478285901293265+0j)
327,14.02.2018,15:00,105.7,(8.312502740421273+0j)
328,14.02.2018,16:00,83.25,(7.676587770030332+0j)
329,14.02.2018,17:00,54.9,(6.6818633117456905+0j)
330,14.02.2018,18:00,58.4,(6.820943017399879+0j)
331,14.02.2018,19:00,109.6,(8.413505644631954+0j)
332,14.02.2018,20:00,89.1,(7.852345022700947+0j)
333,14.02.2018,21:00,91.9,(7.933752402709561+0j)
334,14.02.2018,22:00,115.9,(8.571719504763422+0j)
335,14.02.2018,23:00,111.35,(8.458049312105793+0j)
336,15.02.2018,00:00,116.0,(8.574184059098414+0j)
337,15.02.2018,01:00,130.0,(8.906107299691538+0j)
338,15.02.2018,02:00,101.0,(8.187423660244892+0j)
339,15.02.2018,03:00,85.0,(7.730005108980555+0j)
340,15.02.2018,04:00,78.0,(7.511701817242199+0j)
341,15.02.2018,05:00,69.0,(7.210906028992771+0j)
342,15.02.2018,06:00,41.0,(6.062262783072487+0j)
343,15.02.2018,07:00,47.0,(6.344626950991608+0j)
344,15.02.2018,08:00,76.5,(7.46323787566801+0j)
345,15.02.2018,09:00,114.5,(8.537065914441614+0j)
346,15.02.2018,10:00,137.9,(9.082977278397719+0j)
