,Tarih,Saat,Toplam (MWh),HATAY WindSpeed(m/s)
96,05.02.2018,00:00,1.44,(2.9175962857426794+0j)
97,05.02.2018,01:00,2.25,(3.385570585223335+0j)
98,05.02.2018,02:00,0.0,0j
99,05.02.2018,03:00,0.0,0j
100,05.02.2018,04:00,0.0,0j
101,05.02.2018,05:00,0.0,0j
102,05.02.2018,06:00,9.42,(5.456590145153127+0j)
103,05.02.2018,07:00,1.76,(3.1194300825293193+0j)
104,05.02.2018,08:00,0.0,0j
105,05.02.2018,09:00,0.0,0j
106,05.02.2018,10:00,0.0,0j
107,05.02.2018,11:00,0.0,0j
108,05.02.2018,12:00,0.0,0j
109,05.02.2018,13:00,0.0,0j
110,05.02.2018,14:00,0.0,0j
111,05.02.2018,15:00,0.0,0j
112,05.02.2018,16:00,0.18,(1.45879814287134+0j)
113,05.02.2018,17:00,0.16,(1.4026339964809569+0j)
114,05.02.2018,18:00,0.0,0j
115,05.02.2018,19:00,1.73,(3.10160437861015+0j)
116,05.02.2018,20:00,1.8,(3.1428853247561026+0j)
117,05.02.2018,21:00,1.56,(2.996488161154503+0j)
118,05.02.2018,22:00,3.31,(3.850469591678472+0j)
119,05.02.2018,23:00,3.71,(3.9997145995814978+0j)
120,06.02.2018,00:00,1.67,(3.065324975733849+0j)
121,06.02.2018,01:00,5.14,(4.458876117800856+0j)
122,06.02.2018,02:00,9.91,(5.549607284529733+0j)
123,06.02.2018,03:00,14.14,(6.2477096239627805+0j)
124,06.02.2018,04:00,18.2,(6.796127157619652+0j)
125,06.02.2018,05:00,20.64,(7.0871930759416015+0j)
126,06.02.2018,06:00,21.66,(7.2020674462839045+0j)
127,06.02.2018,07:00,18.29,(6.807311150078392+0j)
128,06.02.2018,08:00,20.81,(7.106597631199802+0j)
129,06.02.2018,09:00,23.35,(7.384708015069181+0j)
130,06.02.2018,10:00,22.91,(7.338028538652787+0j)
131,06.02.2018,11:00,23.43,(7.393132044064284+0j)
132,06.02.2018,12:00,26.49,(7.701908464573392+0j)
133,06.02.2018,13:00,25.95,(7.6492141683246055+0j)
134,06.02.2018,14:00,18.27,(6.804828994470892+0j)
135,06.02.2018,15:00,9.91,(5.549607284529733+0j)
136,06.02.2018,16:00,7.82,(5.128298363397762+0j)
137,06.02.2018,17:00,9.27,(5.427472247556805+0j)
138,06.02.2018,18:00,7.84,(5.132666592395106+0j)
139,06.02.2018,19:00,12.61,(6.013713429840102+0j)
140,06.02.2018,20:00,16.28,(6.548208515294705+0j)
141,06.02.2018,21:00,25.77,(7.6314870731020985+0j)
142,06.02.2018,22:00,42.31,(9.002961131560413+0j)
143,06.02.2018,23:00,42.52,(9.017831552147552+0j)
144,07.02.2018,00:00,36.47,(8.568068984598877+0j)
145,07.02.2018,01:00,26.7,(7.722207262985807+0j)
146,07.02.2018,02:00,11.46,(5.825044390011005+0j)
147,07.02.2018,03:00,6.63,(4.853729204632196+0j)
148,07.02.2018,04:00,7.35,(5.023427588869014+0j)
149,07.02.2018,05:00,4.62,(4.3031355356103465+0j)
150,07.02.2018,06:00,3.57,(3.948757272523432+0j)
151,07.02.2018,07:00,1.93,(3.2167956271964013+0j)
152,07.02.2018,08:00,1.21,(2.7531686997558564+0j)
153,07.02.2018,09:00,1.98,(3.2443380259053516+0j)
154,07.02.2018,10:00,2.47,(3.492502168823125+0j)
155,07.02.2018,11:00,3.57,(3.948757272523432+0j)
156,07.02.2018,12:00,0.0,0j
157,07.02.2018,13:00,0.74,(2.3369438264676687+0j)
158,07.02.2018,14:00,0.71,(2.304926863892336+0j)
159,07.02.2018,15:00,0.0,0j
160,07.02.2018,16:00,0.31,(1.748604525378533+0j)
161,07.02.2018,17:00,25.31,(7.585806290288444+0j)
162,07.02.2018,18:00,31.03,(8.118920557622342+0j)
163,07.02.2018,19:00,23.56,(7.4067802881332225+0j)
164,07.02.2018,20:00,13.65,(6.174691304808213+0j)
